     Lon      Lat             PNV      C3cer_TeWW     C3cer_TeWWi     C3crps_TeSW    C3crps_TeSWi     C4crps_TeCo    C4crps_TeCoi       Rice_TrRi      Rice_TrRii             Pas
   87.50    46.50            3.75            3.75        -8216.58            3.75        -8414.02            3.75        -8100.44            3.75       -11436.59            3.75
  -66.50   -42.50           28.38           43.38        -9362.11           43.37        -6825.78          100.61        -9283.92           25.89       -12738.21           27.25
   39.50    -3.50          902.79         1047.53        -7908.63          921.80        -8126.27          969.76        -5668.42          492.40       -15856.77          712.92
   -4.50    56.50         9521.77         9757.18         9255.70         9627.95         9112.79        10115.74         9883.90            0.00            0.00         9762.45
   94.50    54.50         1328.30         2057.38         1245.82         2001.39         1121.75            0.00            0.00            0.00            0.00         1888.52
   25.50     0.50         5827.07         8299.21         4072.69         8208.55         3748.92         7412.81         5591.47         6950.11          -27.73         8848.95
   63.50    59.50          812.94         1428.59         -745.00         1370.59         -919.90            0.00            0.00            0.00            0.00         1181.89
 -114.50    32.50            0.00            0.00       -16434.40            0.00       -17123.68            0.00       -17599.56            0.00       -26522.95            0.00
  -57.50   -33.50         5823.45         6583.33         2922.52         6500.33         2990.25         6717.55         2847.01         5813.87        -2990.43         5858.52
   22.50    16.50          172.18          103.67       -22369.73          100.12       -21610.43           93.33       -21623.68            0.00            0.00          295.93
   25.50    53.50         2044.56         2695.35         1144.88         2631.78          719.36         2766.81          996.85            0.00            0.00         2446.91
  -92.50    16.50         4655.70         4221.77         -735.10         4151.98         -333.65         4467.60         -281.38         4285.96        -5928.52         5222.76
  122.50    17.50         3339.79         3348.43         3234.52         3397.16         3208.32         3429.19         3289.95         3398.60         2906.78         3603.68
  -68.50     2.50        24293.58        23796.29        23092.74        23130.05        22459.15        24725.94        24133.30        24034.16        21355.32        28293.48
  -39.50    -8.50         1206.69          612.02        -9293.60          689.71        -7152.46          781.71        -7711.96          731.14       -17169.74         1237.76
  147.50   -24.50         1528.14         1657.64        -9011.08         1779.57       -11248.49         1735.28        -9616.55         1214.22       -21352.60         1512.45
   72.50    22.50         3699.10         3108.59       -11540.08         3127.48       -10968.93         3202.49       -10756.72         3083.95       -18380.28         4185.86
  -90.50    42.50         3450.64         4353.46         2529.63         4370.91         2185.21         4447.65         1790.99         4005.09        -2044.43         4161.26
  -90.50    15.50        16034.04        16276.55        14161.29        16144.16        13661.93        16959.83        14818.48        16503.32        10098.90        18603.63
  136.50   -18.50         1226.56          733.77       -14889.66          710.40       -14695.09          884.50       -14409.82          784.01       -21234.30         1193.26
 -114.50    59.50          618.65         1097.57            5.81         1053.60         -230.78            0.00            0.00            0.00            0.00          953.10
 -106.50    39.50         1933.76         3204.40           15.88         3191.56          -43.92            0.00            0.00            0.00            0.00         2944.61
   13.50    52.50          867.82         1782.69         -782.08         1744.68        -1172.65         1762.21         -840.07            0.00            0.00         1536.03
   15.50    40.50         2165.37         2976.39        -2049.34         3051.17        -2735.03         2898.08        -3415.31         2718.00        -6730.07         2922.63
  -80.50    -4.50          216.84           68.09       -10079.68           68.70        -9505.50           81.89        -9730.08           71.77       -19419.48          180.04
  160.50    56.50         3855.07         4087.06         3563.33         4124.94         3678.19            0.00            0.00            0.00            0.00         4109.12
   48.50    30.50          329.35          273.44       -14739.11          273.95       -13797.94          282.37       -15526.37          280.59       -24334.85          392.15
  100.50    58.50          373.08          810.59        -1201.11          781.63        -1340.97            0.00            0.00            0.00            0.00          623.66
  105.50    53.50          193.30          465.57        -1218.47          561.57         -746.75            0.00            0.00            0.00            0.00          350.50
   76.50    19.50         4137.32         3258.43       -10970.75         3252.36       -10392.79         3491.24        -9678.18         3300.66       -15774.89         4837.48
  119.50   -29.50           43.16           32.44       -15440.54           31.37       -14891.15           32.71       -15586.22            0.00            0.00           36.73
  147.50   -20.50         2060.59         1371.82       -10594.60         1357.21        -9992.07         1457.77       -10887.74         1345.46       -20966.11         2136.23
    3.50    43.50         2675.99         3064.46          912.57         3038.90          662.84         3167.14          229.90         3166.70        -1442.77         3056.69
   80.50    49.50          494.91          874.60        -4755.27          889.41        -5281.55          740.77        -4767.84            0.00            0.00          727.97
   84.50    27.50        12897.67        11440.42         4463.58        11286.51         3921.24        12297.53         4478.38        11921.72         -503.99        14264.36
   64.50    58.50         1055.30         1761.35          174.11         1696.77          -39.47            0.00            0.00            0.00            0.00         1478.77
 -104.50    25.50           61.16            1.67       -14596.37            1.11       -12917.62            2.22       -12534.47            2.50       -20913.44            7.78
  105.50    18.50        14147.43        13864.66        11048.24        13998.33        10873.76        14524.22        11354.03        14214.65         7922.68        16324.99
   30.50   -20.50          882.29          270.06       -12216.86          384.60        -9401.82          380.27       -11052.40          254.76       -20613.67          833.53
   28.50    47.50          712.24         1529.18         -966.63         1535.41        -1322.55         1598.56        -1430.58         1114.80        -5866.07         1170.88
  -97.50    44.50         2019.83         2464.09          151.50         2539.98          108.61         2602.22         -317.52         2175.02        -4206.73         2449.38
   11.50     6.50         7579.85         8611.70         6357.25         8489.25         5959.79         9156.44         7219.39         8636.32         1282.01        10504.64
