Lon	Lat	PNV	C3cer_TeWW	C3cer_TeWWi	C3crps_TeSW	C3crps_TeSWi	C4crps_TeCo	C4crps_TeCoi	Rice_TrRi	Rice_TrRii	Pas	ID
16.5	38.5	0	4238208	6475373	10193310	17737240	4187865	13800427	3783968	8472497	0	62
21.5	-4.5	0	8729478	23759761	20265679	59479596	12273527	37131146	11286259	25053122	0	63
-14.5	12.5	0	18601168	24962364	15818846	17176350	15000229	16034308	11527046	13530487	0	64
-44.5	-21.5	0	8739469	26708668	32549192	35480111	17959792	18884363	12568697	13506522	0	65
17.5	7.5	0	29200572	26808016	23196396	64883829	14158149	37952734	11627278	26448863	0	66
38.5	27.5	0	621775	6625466	1528954	16971387	1613746	30252204	474840	21860234	0	67
-89.5	54.5	0	10160658.81	11597710.837	26962146.3272	31001087.691	0	0	0	0	0	68
146.5	-23.5	0	10464566	9758497	23795558	29159570	18626819	36967950	12191336	24637227	0	69
111.5	22.5	0	21042298	20161112	47573430	45673041	30991578	31981651	24985294	26551454	0	70
90.5	48.5	0	3432643.8315	8426830.2859	9279831.691	9011549.5275	0	0	0	0	0	71
30.5	66.5	0	0	0	19067032.0965	20197488.525	0	0	0	0	0	72
128.5	44.5	0	20367730	21105394	45374548	45415529	21357436	21721837	7403098	7388956	0	73
25.5	35.5	0	3799592	3810258	8943040	13019935	3209402	8593103	2208228	4800596	0	74
-116.5	55.5	0	10918549.2276	11295691.1242	30264042.8428	46308004.829	0	0	0	0	0	75
76.5	53.5	0	3499707	5304244	8646738	12269482	4462080	6455933	0	0	0	76
-112.5	58.5	0	628619.8488	680640.7872	1761962.3664	2004594.5142	0	0	0	0	0	77
-53.5	-1.5	0	21632029	23879513	20540703	23533746	12947162	35267835	9107063	11400140	0	78
-75.5	-14.5	0	1943853	10530018	4796140	28522868	4438165	14140694	1853888	15168178	0	79
113.5	50.5	0	8493581	7916134	21204715	20407985	0	0	0	0	0	80
113.5	2.5	0	31548401	31686167	35222160	73831066	20503752	38355835	18055016	26116882	0	81
-87.5	20.5	0	18864266	19706347	16965456	47239094	19363744	25549758	17413382	16345077	0	82
-83.5	35.5	0	13220311.0144	13754902.623	31107464.9653	32978535.5954	22169512.1208	22114675.7714	14315356.1068	13654743.2437	0	83
114.5	39.5	0	21511516	24038632	44166886	47341297	21230412	22922691	8108428	9523578	0	84
-91.5	43.5	0	12448088.4528	13405020.2871	23229521.0524	23867474.6089	19093165.3315	20104895.7213	13352908.9252	13456098.9589	0	85
-83.5	12.5	0	6894967	7821753	5832359	18507754	5302149	11453336	3442766	7643698	0	86
19.5	-5.5	0	9127946	23540492	20932507	60246729	13172669	37198526	12285422	25251722	0	87
30.5	-11.5	0	7464705.1112	27038819.5824	17189555.791	61438666.683	11568435.3848	34424245.5913	9757879.5444	23138070.437	0	88
48.5	48.5	0	1781782	5885972	3913829	13409053	4161486	10486283	0	0	0	89
25.5	45.5	0	11485648	11606465	30212248	31082129	10306165	10332368	0	0	0	90
125.5	50.5	0	17528061	18310172	33279926	33806206	17279068	17318699	0	0	0	91
126.5	44.5	0	22728256	23408546	43456621	44636884	26307953	27081194	11659702	11956674	0	92
123.5	48.5	0	18373677	19241724	33427452	33945234	17678057	17356037	7100926	7265148	0	93
-102.5	41.5	0	8219278	11859859	15388554	24408244	12851191	21791961	8976503	13594688	0	94
-38.5	-10.5	0	16214076	25287179	21795786	26157202	12962987	14960120	16736366	12808145	0	95
21.5	66.5	0	9605668	12213501	25451186	24093127	0	0	0	0	0	96
64.5	48.5	0	890891	21396615	1964529	47765468	2212854	25076254	0	0	0	97
-97.5	21.5	0	9827172	10439489	14635360	19458604	11908096	14270122	10560349	12876784	0	98
123.5	-33.5	0	10772997.528	17584266.024	24679034.2592	42234223.5776	9372368.1934	22646605.8246	6415264.8164	15928418.6768	0	99
39.5	51.5	0	5963413.395	6768164.53	13391887.86	15008268.65	6697786.115	7301929.19	0	0	0	100
-67.5	46.5	0	14108876.0076	14203407.4336	61122706.6296	65234841.1396	17674064.6412	18383076.8044	0	0	0	101
44.5	50.5	0	4933879	6615052	10050494	12608802	6412278	8076775	8380313	14143749	0	102
28.5	58.5	0	7781967	8254676	17472496	18063382	6439450	6644488	0	0	0	103
29.5	-17.5	0	15233808	13052852	15409161	18357287	16174502	20262694	23494740	15751403	0	104
106.5	40.5	0	4570075	17949513	13927847	37718351	6645318	20615589	2710952	14455906	0	105
171.5	-43.5	0	20995571.6022	22525213.412	61736683.8023	60108355.3603	13528249.1331	14527038.4987	0	0	0	106
-70.5	-16.5	0	7310736	7629550	20503043	23042562	0	0	0	0	0	107
13.5	13.5	0	2892602	5519828	7952445	12154238	10992708	17985453	4937372	11568865	0	108
-120.5	47.5	0	4218031.8912	10966884.024	10659467.4744	55699473.5896	3209500.024	16675444.2128	1837911.5168	6352515.3008	0	109
-39.5	-11.5	0	13614233	30021130	17476666	27780242	12162010	17339411	14901940	12395616	0	110
-57.5	-14.5	0	7787782	20348363	17656015	17978652	19736866	20376262	14799625	16296864	0	111
26.5	61.5	0	10221885.8168	14661008.0124	24143040.4624	27017413.6108	0	0	0	0	0	112
-0.5	53.5	0	14025131.3466	16037998.0398	36958818.7485	48263335.1838	9047642.1453	13680598.8033	0	0	0	113
-97.5	50.5	0	10733454	12898480	29915448	39450027	13137935	18850414	0	0	0	114
4.5	8.5	0	7871348.212	7980976.9312	18209344.5352	18384751.2576	14954932.6836	15727642.8764	12342006.8408	14157842.2258	0	115
39.5	49.5	0	6604834	8590015	13814177	17239734	7534378	9128655	6599226	9161658	0	116
-93.5	48.5	0	14060092.1082	16404548.4492	36262685.1402	42625257.8902	13928453.0345	16809209.0318	0	0	0	117
115.5	41.5	0	19003316	24236113	39065240	44771399	17554895	17918872	0	0	0	118
-64.5	9.5	0	10869147	27348543	20344233	25591798	21950147	27542150	19858085	24737053	0	119
54.5	39.5	0	345816	10374474	1090650	22788375	1163442	17990082	634905	15383065	0	120
-72.5	-6.5	0	26465914	27013956	62511164	64566325	36449400	36437019	23373393	24437163	0	121
-108.5	34.5	0	4770298.3968	20710517.1732	36569269.2924	40705941.1068	12082925.3904	18413945.784	4693102.254	9901585.2492	0	122
-97.5	23.5	0	4458241	4854817	5787937	7897825	4792240	6602330	4208286	6283360	0	123
42.5	52.5	0	5396661.0745	6273101.2155	12408180.2295	14071345.242	6315968.5865	6914638.936	0	0	0	124
119.5	31.5	0	17266247	18331044	43078413	44574638	27502308	28348380	24833376	22109306	0	125
62.5	53.5	0	4208263	5583778	9614994	12209409	5168821	6593939	0	0	0	126
42.5	34.5	0	630024	3900589	2297734	20457246	833884	35033149	607452	18799054	0	127
-96.5	47.5	0	11889812.7446	14575858.1444	22564325.973	26194744.436	14680901.725	17920940.1392	7619386.3732	9716220.2662	0	128
-121.5	43.5	0	3128160.5193	10873707.7242	10101516.1678	49688113.6625	0	0	0	0	0	129
73.5	56.5	0	5784402	6951431	14480034	16858489	0	0	0	0	0	130
-107.5	45.5	0	7055700	11219851	14006692	41681787	7467603	20166894	4440045	9380377	0	131
78.5	57.5	0	8113086	15219754	20937195	41090248	0	0	0	0	0	132
22.5	9.5	0	28229820.275	29509390.6243	25693325.177	72527876.111	13101751.8014	38617627.8265	11067927.8918	25818651.2819	0	133
-102.5	51.5	0	8661356.6816	9142543.9392	23620597.4368	26911064.1408	0	0	0	0	0	134
-85.5	38.5	0	14851263.7251	16565216.3127	28410332.6826	32259995.6778	27353025.4239	30184662.2319	20119734.8253	19283670.4401	0	135
140.5	-5.5	0	29751612	30060453	32965839	67876228	25911211	41452976	22784770	27521319	0	136
0.5	16.5	0	0	0	2816228	30474429	9731899	24799113	3034522	13385926	0	137
121.5	-8.5	0	10867113.4971	9456845.0925	8808884.8704	8948639.9676	7554445.1223	7880503.3779	7244874.3714	8253237.4434	0	138
102.5	4.5	0	17297862.0827	18334869.4915	18853373.8282	41912388.6738	11846337.7776	23606776.3356	10499211.8785	10138883.7098	0	139
21.5	51.5	0	10918292	12931796	27040498	34555686	11908705	13853767	0	0	0	140
84.5	24.5	0	10631078	11790456	20868796	35226445	18038560	27097127	16038500	25361549	0	141
74.5	32.5	0	8807867	8529015	20904261	25596662	14493364	27652087	12849235	20721361	0	142
126.5	-17.5	0	11205748.258	9234888.528	26304950.338	23465303.252	22775909.166	29806695.518	13608739.478	17987685.856	0	143
16.5	-22.5	0	7680746.966	6337145.0895	5998599.162	35187553.003	5827866.824	10955931.558	8195844.7915	25518465.671	0	144
39.5	9.5	0	10797222.989	12231582.0995	14151590.4675	16105480.832	11989911.916	12651255.085	8574077.328	9743269.7815	0	145
46.5	26.5	0	1953975	3548007	4555847	10654305	3735849	34927398	2226843	18604344	0	146
26.5	10.5	0	6869797	32168275	19920150	79375528	15548233	39820139	9649972	23618063	0	147
-49.5	-15.5	0	8116872	9390323	21781564	24417056	19860918	20821543	13746624	15513911	0	148
74.5	43.5	0	2825765	6101652	4742952	14020464	4401944	8821965	4084466	8276796	0	149
-62.5	-17.5	0	6937410	24965910	17491480	62886036	10850346	35367611	10664816	24128200	0	150
-65.5	-14.5	0	7361740	26542176	16807828	65357614	10507586	36512056	10090563	25183368	0	151
77.5	10.5	0	16837996.3238	26082166.2482	27141510.6296	30799036.0471	14764142.428	16154704.266	15343508.9813	18046660.649	0	152
139.5	-35.5	0	6005543.9408	8447118.6772	11858034.5336	17542893.6444	4979030.8008	22168541.8988	9016227.388	14913871.6916	0	153
-75.5	-5.5	0	13061802	13585640	21762078	22673101	19375001	19621973	14647648	15109378	0	154
118.5	33.5	0	16680817	17777814	39064408	37281787	29030408	30666048	19302956	20040559	0	155
-68.5	45.5	0	11072137.3542	16841610.5292	51553271.2689	59226450.7518	17345124.6021	19361999.8467	0	0	0	156
-91.5	46.5	0	8612114.4135	9742493.943	19253915.811	21801952.107	12128867.3025	13510379.961	0	0	0	157
33.5	35.5	0	3939979	3638768	9119424	9995359	3596634	8976568	2735884	7762622	0	158
-4.5	31.5	0	215557	7603292	519297	30736505	1901832	17127111	566324	12780337	0	159
103.5	35.5	0	19541722	22135510	44549921	46994960	14325287	15333400	3071704	3248147	0	160
45.5	52.5	0	5533473	6638768	12787849	14620681	6538945	7365795	0	0	0	161
57.5	61.5	0	6949546.1091	14167414.5676	15632454.0864	15460727.4696	0	0	0	0	0	162
64.5	53.5	0	3281749	23542981	7419606	54159049	9136062	21093987	0	0	0	163
-64.5	-29.5	0	8786030	9597048	13961098	16876902	10061293	16070848	0	0	0	164
-65.5	-7.5	0	24517998	24426853	58423929	59962000	36334307	36482560	23539586	24679708	0	165
13.5	32.5	0	5448100	8424226	12335474	19458660	6692542	28630679	5632956	18968260	0	166
78.5	28.5	0	8854323	9518398	18493462	23001117	15689558	27614931	12950666	24529880	0	167
142.5	-35.5	0	2647565	11900010	8185934	21919594	6898398	16353260	5697909	20451134	0	168
125.5	49.5	0	18038285	19239842	35464596	35942234	18184476	18265403	0	0	0	169
-104.5	50.5	0	7964607	9231373	21411252	26915130	11968104	16033786	0	0	0	170
-42.5	-17.5	0	7163857.8921	29003298.8336	20611039.2488	26894362.7134	17634871.072	21748887.4148	12022649.2932	16055206.8404	0	171
40.5	-12.5	0	3197550	14603912	6830862	35561704	5542636	5632034	13370695	5593136	0	172
38.5	-1.5	0	5916060	25180589	17012980	60780335	14101031	17875424	20275965	14409215	0	173
17.5	-17.5	0	6323674	16318806	14006336	38961286	11206874	38041573	20866354	26038033	0	174
-46.5	-11.5	0	19495021.3678	20378950.878	14638265.0684	15891308.0194	13029422.045	13872068.3818	11019265.5854	12686820.6152	0	175
31.5	-15.5	0	5387385	24034460	11426552	59770443	10546415	11496144	9093128	11843030	0	176
97.5	58.5	0	6249001	15220571	15860140	39183876	0	0	0	0	0	177
52.5	60.5	0	7390200	18311398	16653413	47096962	0	0	0	0	0	178
-96.5	30.5	0	11544978	12366790	17228355	20228465	20217340	32059997	16613638	23720346	0	179
113.5	35.5	0	17026744	18654575	36280062	37758208	27035633	27350119	15971900	18062209	0	180
-110.5	42.5	0	4353507.6075	7916225.5275	15790830.39	36767577.7575	0	0	0	0	0	181
-45.5	-21.5	0	8679141.8244	9804409.7258	32247233.2632	34508186.982	18167575.758	18879365.3716	12188269.8584	13150029.468	0	182
16.5	40.5	0	4468665	14749664	11670740	35112034	10049424	26043578	7869040	15393646	0	183
38.5	0.5	0	4326589.4374	23947672.6019	12352412.5708	59382440.4519	11541437.4384	17640571.0211	14127397.507	13390234.4141	0	184
109.5	37.5	0	19172560	23065419	41654506	47525704	20987946	23232064	9980517	14534275	0	185
25.5	-29.5	0	7661252	9771596	16312665	21833567	14522141	20367872	16221065	18990726	0	186
22.5	66.5	0	9287068	13038738	25825866	25187857	0	0	0	0	0	187
41.5	49.5	0	5313719	6963062	10858794	13470875	6854584	8529790	9348368	14943224	0	188
-6.5	58.5	0	2413264	3756550	6909785	9538208	0	0	0	0	0	189
27.5	52.5	0	8389678.863	9631823.2782	22774961.0799	25585399.1892	8864280.0276	10233803.6607	0	0	0	190
105.5	48.5	0	6000190	20886446	13706016	12929342	0	0	0	0	0	191
-112.5	30.5	0	2067254	8438319	4731518	18640932	4724914	25325154	1983244	20332098	0	192
120.5	40.5	0	13683345	14360341	25875005	27349478	16505180	17320174	8958454	10700650	0	193
68.5	57.5	0	6175605	7521026	15926880	19041954	0	0	0	0	0	194
130.5	32.5	0	15806331.1014	15966502.0608	37302941.9192	37479973.5058	24334194.1876	24434749.0726	19228341.5624	17882939.6966	0	195
-102.5	31.5	0	5398730	10964026	9945028	21349966	12441592	25775665	10785523	21807719	0	196
80.5	52.5	0	4366122	5965870	9724228	12239114	4999642	6128349	0	0	0	197
-60.5	7.5	0	13774284	23378686	23777445	61032954	24548204	26092505	21524716	24542108	0	198
11.5	-1.5	0	24778526	25111664	22320202	63342047	9903109	36685103	22020134	24428276	0	199
52.5	47.5	0	923856	5092856	2134962	9782009	2761280	25727050	0	0	0	200
-70.5	7.5	0	14047719	26352291	24210384	26773836	26240758	26771997	21269171	23510100	0	201
-107.5	41.5	0	5144619.2246	11847176.9054	13011350.2378	29994585.8456	5782902.78	15798557.6018	0	0	0	202
10.5	12.5	0	5362701	7337252	14281838	16794903	15547682	22457764	9571997	14682224	0	203
