     Lon      Lat             PNV      C3cer_TeWW     C3cer_TeWWi     C3crps_TeSW    C3crps_TeSWi     C4crps_TeCo    C4crps_TeCoi       Rice_TrRi      Rice_TrRii             Pas
   87.50    46.50               0         2494305        19845651         8042384        40724768         4398394        22126784         1642332        15210011               0
  -66.50   -42.50               0         2211289        21536772         5828992        18300325         5319401        26119270         2170761        11277726               0
   39.50    -3.50               0         6183346        25527478        18274752        62288738        11802742        12824575        20697656        10906002               0
   -4.50    56.50               0        11091822        11902520        33680815        33772940         1178793         1212092               0               0               0
   94.50    54.50               0         8061116         8054442        20993601        20933542               0               0               0               0               0
   25.50     0.50               0         8410999        28964956        20373560        75326924         8093677        36776103        10426874        25211247               0
   63.50    59.50               0         7267099        18943450        19246732        48192650               0               0               0               0               0
 -114.50    32.50               0          571815         8664448         1414999        23560708         1271651        33378205          275910        22265124               0
  -57.50   -33.50               0        12997815        14296656        26607403        33318078         9583439        15982604        20501641        18910226               0
   22.50    16.50               0         1619677         9839264         4065720        23545920         5914192        41028964               0               0               0
   25.50    53.50               0         9337110        10184695        24641494        26897165         8842628         9583837               0               0               0
  -92.50    16.50               0        21406574        21803960        26269328        31947769        20661260        24482800        16906335        22084690               0
  122.50    17.50               0         5915120         6433602         3449170        13676542         3493358         9129355         2563706         2806440               0
  -68.50     2.50               0        25670388        26083686        59090110        60639976        36102539        36376420        23155582        24264832               0
  -39.50    -8.50               0        18866248        31004291        18843517        23685096        17266117        20827793         9686903        13089084               0
  147.50   -24.50               0         7194250         9243775        11941618        34423650        12382230        20160809        15678244        25258391               0
   72.50    22.50               0         7619102        10039648        15840788        26329820        13888062        25040596        10220533        21093065               0
  -90.50    42.50               0        11753016        12662873        24132080        25684680        19279927        21253178        13170763        13876468               0
  -90.50    15.50               0        16665609        26842151        27938426        62786714        22262480        23271136        13431378        14959842               0
  136.50   -18.50               0        11017471        13720075        25042679        36986446        24059558        41454288        15013648        27056531               0
 -114.50    59.50               0         9219350         9945238        25246044        29126974               0               0               0               0               0
 -106.50    39.50               0         8042434        10755758        19622830        25342092               0               0               0               0               0
   13.50    52.50               0        16600787        22086205        38418572        51020579        16165493        19203053               0               0               0
   15.50    40.50               0         6685160        16159931        13799492        43923980        11097563        28298786         5532207        11854728               0
  -80.50    -4.50               0        11064868        14245875        20882508        26763937        17098110        19927116        12102102        19821388               0
  160.50    56.50               0         7486847         7694117        14106928        14182299               0               0               0               0               0
   48.50    30.50               0         2676459         5571988         6419692        15325348         4802710        34352288         2308932        18052400               0
  100.50    58.50               0         6008840        13849220        15680761        34614384               0               0               0               0               0
  105.50    53.50               0        12276318        14279080        16698799        15776025               0               0               0               0               0
   76.50    19.50               0        13626761        16529056        25732245        35334634        16683529        27201406        13682240        21789200               0
  119.50   -29.50               0         5570910        10701748        13892270        32635332         7017046        34597184               0               0               0
  147.50   -20.50               0         8519012        11725667        17315935        24263686        12970004        19414439        18479032        27128399               0
    3.50    43.50               0         6128350        11721376        13851521        33937342         8272010        18376200         3155733         5128066               0
   80.50    49.50               0         3455410        25732729         7530256        58876306         7178296        23040143               0               0               0
   84.50    27.50               0        11088102        13817013        28049956        34075878        17050922        23024245        14125088        21108867               0
   64.50    58.50               0         7449651         7971066        19604029        20778712               0               0               0               0               0
 -104.50    25.50               0        15008281        13328017        26853103        29269778        17208102        24496240        13090533        24400467               0
  105.50    18.50               0        15225600        25020893        20486210        60515868        21100400        26252824        12996584        21910387               0
   30.50   -20.50               0        12173751        14531002        12152223        15876466        13130868        17671230        20948429        15832036               0
   28.50    47.50               0         7818838         8818471        17086756        18768310         8335695         8940705        11805715         8937849               0
  -97.50    44.50               0        10839759        11977019        18394983        19532244        14772712        16799325        10188278        11862312               0
   11.50     6.50               0         9203929        25764282        23390520        62479225        12590974        34676779        10828234        24969656               0
  -69.50   -37.50               0          866093         8861497         2488877        15954342         3924736        10637320         1832514        11498436               0
 -111.50    58.50               0         9104109         9800218        24627335        27645464               0               0               0               0               0
 -102.50    42.50               0         9658505        11946046        19223814        25349340        14671992        22453569         8719590        12015931               0
  131.50    53.50               0        11565439        11907208        28865750        29658653               0               0               0               0               0
  161.50    55.50               0               0               0        14615883        16158399               0               0               0               0               0
 -106.50    31.50               0         5565296        10777863        11179583        26738898        10646008        28559352         4877153        21655572               0
 -108.50    26.50               0        14584766        10366872        26262743        30551782        20356053        28897440        19157974        23918972               0
  -76.50    47.50               0         9890004        10543949        26143115        28391511               0               0               0               0               0
   84.50    21.50               0        10087462        12625188        18694584        27460314        16052426        21934494        13901737        22111425               0
   35.50    -1.50               0         7443896        27179413        19046266        62170322         9529407        10102417         8582104        10237083               0
   33.50    60.50               0         7067204        19855478        19238499        50530508               0               0               0               0               0
   28.50    45.50               0         6819712         9078043        14064258        18081553         8090179        10458233         6288316         9477482               0
  104.50    17.50               0        16495677        18553554        21830912        45991907        19693943        33637915        17424166        18880093               0
  -54.50    -9.50               0        12399215        25920480        21896968        23540374        14023022        35997750        11762322        12788958               0
   66.50    47.50               0         1638098         3974912         3462521         8275890         3822016         6844271               0               0               0
  118.50    29.50               0        18346154        18611328        45963597        46710014        26369258        26784606        21918718        21096872               0
   17.50   -20.50               0        18179898        14595584         9052276        36833400         7423318        35552555        16723458        25665540               0
   86.50    59.50               0        11728748        15167787        30109016        38387108               0               0               0               0               0
  -63.50    -3.50               0        23351934        24944851        21303900        57236621         9341612        33676806         8964886        21799910               0
   16.50    38.50               0         3337739         6587431         8088214        18181471         4296359        13817786         2896668         8448329               0
   21.50    -4.50               0         8855494        23691026        20529167        58803691        11962962        37093878        11335673        25527501               0
  -14.50    12.50               0        18847987        27643714        14663285        18668482        14245959        16812908        11101194        15446822               0
  -44.50   -21.50               0         8568942        26527484        32229455        34371691        17532178        18260278        12302060        13561688               0
   17.50     7.50               0        27810610        27434638        23731873        65772492        14343465        37965089        11931966        26910809               0
   38.50    27.50               0          305791         6105622          795056        15941892         1138464        30362734          211040        22405420               0
  -89.50    54.50               0        10378496        11788548        27794552        31510232               0               0               0               0               0
  146.50   -23.50               0        11349786        10011417        26229914        30108020        19746713        36922240        13009547        25237248               0
  111.50    22.50               0        20798114        20500847        47191229        46490527        30611667        31452077        24563987        26441548               0
   90.50    48.50               0         3857338         9164009        10568050        10266105               0               0               0               0               0
   30.50    66.50               0               0               0        22364988        24055047               0               0               0               0               0
  128.50    44.50               0        19457944        20277571        44145108        44874576        19322125        20095366         7516230         7473805               0
   25.50    35.50               0         3546286         3908914         8276444        13347900         2957855         8610451         1959802         4892605               0
 -116.50    55.50               0        11433526        11758560        31368905        47932859               0               0               0               0               0
   76.50    53.50               0         4026030         5420445         9576348        12440366         4854921         6322516               0               0               0
 -112.50    58.50               0         7932030         8715127        22255152        25564374               0               0               0               0               0
  -53.50    -1.50               0        22442420        24689903        20983716        24344137        12665956        35162383         9284170        11679784               0
  -75.50   -14.50               0         2217360        10559322         5225936        28454491         4819487        14098324         2224666        15564236               0
  113.50    50.50               0         8595913         8047704        21497093        20693053               0               0               0               0               0
  113.50     2.50               0        30962896        31456557        35153277        73899949        20204972        38393182        18342232        26612082               0
  -87.50    20.50               0        18434970        20441104        17708468        49154416        20402207        26973168        18118464        17413383               0
  -83.50    35.50               0        17132157        17928571        40561539        43108210        28328430        28358556        19093642        18270778               0
  114.50    39.50               0        23284931        24012031        47997460        47669379        22615004        22759232         8284366         8888673               0
  -91.50    43.50               0        12236450        13385112        22997187        23938452        18605854        19851434        12214593        12765110               0
  -83.50    12.50               0         7486192         8436948         6415596        19933886         5445100        12246059         3639200         7812563               0
   19.50    -5.50               0         8601774        24192488        20223318        59308770        12006726        36751995        11555204        25478682               0
   30.50   -11.50               0         8085220        28672897        19077988        64771224        12441709        37046218        10361160        25169709               0
   48.50    48.50               0         1918842         5916430         4325010        13576571         4673414        10304631               0               0               0
   25.50    45.50               0        12105841        11993078        31380144        31887574        10262495        10279963               0               0               0
  125.50    50.50               0        16797116        18120126        32863287        34025490        16454746        17183954               0               0               0
  126.50    44.50               0        22367619        23113480        42669779        44186089        24752584        25863562        11539499        11878896               0
  123.50    48.50               0        18076713        18990448        33351307        33945234        17331267        17207413         6844742         7074651               0
 -102.50    41.50               0         9355346        12057810        18047986        24253326        14493754        21418651        10788138        14121844               0
  -38.50   -10.50               0        19185715        25592252        22405932        26258894        13110015        15486971        19338934        13383244               0
   21.50    66.50               0         9547014        12308249        25203035        24625522               0               0               0               0               0
   64.50    48.50               0         1263999        21594590         2802119        48389853         3063316        24514784               0               0               0
  -97.50    21.50               0        10434470        10620172        15332999        19734649        11967963        14302777        10902402        12980699               0
  123.50   -33.50               0        12008536        19177694        27855737        45727816        10605600        24339472         6913107        17319862               0
   39.50    51.50               0         6258108         7063536        14134200        15581120         6932982         7412185               0               0               0
  -67.50    46.50               0        13889214        14259908        58593394        62694694        16429516        17079513               0               0               0
   44.50    50.50               0         4824237         6636980         9816591        12601492         5968412         7870695         7592097        13670820               0
   28.50    58.50               0         7462889         8319674        17242051        18666086         6208784         6785451               0               0               0
   29.50   -17.50               0        16011938        14017296        15759868        18565518        16020006        20440958        24421293        15855404               0
  106.50    40.50               0         5640778        18228070        17557792        38310284         7815800        20464559         2928729        14155523               0
  171.50   -43.50               0        22153690        23317487        64840070        60891476        13593439        14422747               0               0               0
  -70.50   -16.50               0         7101858         7596570        20107274        22965607               0               0               0               0               0
   13.50    13.50               0         3042982         5387140         8350510        12322310        10858418        17525025         5494448        12049630               0
 -120.50    47.50               0         4293865        13803922        10618402        61617734         3361845        17767352         2032651         7094218               0
  -39.50   -11.50               0        17251452        29998608        20821106        27296031        13346462        16960874        18515709        12502475               0
  -57.50   -14.50               0         7787782        19614086        17567012        17989777        19760994        20291814        15327498        16939908               0
   26.50    61.50               0        10005534        14383755        24564077        27804046               0               0               0               0               0
   -0.50    53.50               0        14844748        15799332        38085937        48495444         8858422        12822883               0               0               0
  -97.50    50.50               0        10747558        13081838        29816717        39696854        13803244        19584547               0               0               0
    4.50     8.50               0         7330560         7716977        17172831        18047952        14899883        15873490        12216479        14510745               0
   39.50    49.50               0         6783948         8672109        14194794        17359144         7510099         8869686         6496214         8653034               0
  -93.50    48.50               0        15052346        17276146        37957484        44350909        15335193        17754160               0               0               0
  115.50    41.50               0        20724631        24356605        42086148        44900498        17788214        17806879               0               0               0
  -64.50     9.50               0        10563134        26033818        19720872        24832432        21311061        26915354        20679394        25147708               0
   54.50    39.50               0          336948        10480879          585227        23311532          701911        17557397          428370        15796136               0
  -72.50    -6.50               0        27436406        27927362        64417896        66164784        36796065        37142731        24407614        25018297               0
 -108.50    34.50               0         4744666        21696665        34765804        43128158        10854804        19357905         4534312        10441173               0
  -97.50    23.50               0         4258657         4836673         5660929         7918561         4601112         6675408         4013748         6234167               0
   42.50    52.50               0         5477508         6456884        12431076        14235926         6076212         6812033               0               0               0
  119.50    31.50               0        17449832        19230615        42270635        45666973        27104157        27940274        25506474        21943012               0
   62.50    53.50               0         4555546         5563350        10445752        12107267         5220509         6202585               0               0               0
   42.50    34.50               0          111181         4623264          370602        22319523               0        35183850            7993        19262636               0
  -96.50    47.50               0        12725499        14741727        23434770        25924036        15699639        17642123         8161625         9887608               0
 -121.50    43.50               0         3403850        12394996        10302873        53207989               0               0               0               0               0
   73.50    56.50               0         6177640         6837266        15272852        16401826               0               0               0               0               0
 -107.50    45.50               0         7643675        11260123        16044468        42148946         7974177        20053352         4829157         9144131               0
   78.50    57.50               0         8261270        15127138        21097728        40256712               0               0               0               0               0
   22.50     9.50               0        29773984        28663268        26736516        70825132        13691190        38787606        11811209        26545889               0
 -102.50    51.50               0         8554282         9313874        23199496        27082644               0               0               0               0               0
  -85.50    38.50               0        14951468        16611746        28808051        32837588        26801055        30080632        19997874        19455926               0
  140.50    -5.50               0        29499965        30106207        32405351        68539662        25799578        41316536        23297896        27768014               0
    0.50    16.50               0               0               0         3495628        31833231         9862608        24656521         3563908        13612806               0
  121.50    -8.50               0        10588670         9575134         8736936         9014910         7396574         7781474         7175645         8160682               0
  102.50     4.50               0        27117874        29054052        29634905        66843681        18550059        36939565        16575319        15995625               0
   21.50    51.50               0        10911202        12945975        27331180        35179588        12277728        13922959               0               0               0
   84.50    24.50               0        11614479        11717995        22908058        34884842        18206934        26648128        16851142        25647313               0
   74.50    32.50               0         7971312         9077103        19288844        26962074        11771948        27089036        11181903        20878970               0
  126.50   -17.50               0        17918904        12866540        43246480        33339024        33252209        40406544        20213985        25158754               0
   16.50   -22.50               0         9862914         6635437         6476187        35852594         5802286        10833237         9827426        26340801               0
   39.50     9.50               0        10166450        12059200        13725274        14801988        11958283        12621949         8056653         9249507               0
   46.50    26.50               0         2303634         3465734         5347720        10746862         4248831        34960853         2209099        19101170               0
   26.50    10.50               0         7513840        33094793        20801473        81330256        15634000        39538335        10575980        24563566               0
  -49.50   -15.50               0         7696078         8238680        20530258        22268798        18840254        19812886        14042764        15103136               0
   74.50    43.50               0         3200867         5993290         5393127        13878758         4636955         8586953         4386486         8283988               0
  -62.50   -17.50               0         7112764        24308336        17590117        60770838        10874114        34012803        10948454        23995835               0
  -65.50   -14.50               0         7661088        26564350        17550654        65812179        10483540        36319697        10530531        25604206               0
   77.50    10.50               0        19264808        26292790        30190948        31015776        15413457        16295626        16950810        18598128               0
  139.50   -35.50               0         6183226         8695395        12344023        17966496         5107746        22660556         8991310        15305867               0
  -75.50    -5.50               0        14416949        15384912        24734292        25861684        20387588        20881534        16632104        16592808               0
  118.50    33.50               0        17108323        18608629        38023874        38281991        28453124        29800121        20096228        19664799               0
  -68.50    45.50               0        11182309        17884113        52234650        60907573        16523979        19171104               0               0               0
  -91.50    46.50               0         8697422         9626821        20044888        21947645        12631758        13605526               0               0               0
   33.50    35.50               0         3746096         3694163         8745507        10230788         3532811         9002848         2568625         7977670               0
   -4.50    31.50               0          186163         7691475          431114        31157821         1923081        16988989          540966        12974747               0
  103.50    35.50               0        19709063        21893794        44903196        46790432        14829343        15182183         2566438         2662678               0
   45.50    52.50               0         5512486         6736706        12501032        14592698         6265857         7138222               0               0               0
   57.50    61.50               0         7276256        15150186        16071370        15671094               0               0               0               0               0
   64.50    53.50               0         3512762        23848734         7847660        54281350        10933803        20592978               0               0               0
  -64.50   -29.50               0         8853615         9886698        14086613        17205171        10385850        15976621               0               0               0
  -65.50    -7.50               0        24233170        24312922        58560646        59278413        35827776        36544332        23195584        24807481               0
   13.50    32.50               0         5748965         8594987        12872152        19922156         6789536        28683584         5948626        19438258               0
   78.50    28.50               0        10574879         8673212        22045253        22216302        16038700        26873005        14296077        24529880               0
  142.50   -35.50               0         2656920        11974852         9364709        22003792         7192594        16403984         5625272        20693254               0
  125.50    49.50               0        17680056        18986097        35412355        36166127        17876950        18241125               0               0               0
 -104.50    50.50               0         8372302         9406099        22168398        27111696        11802318        16104836               0               0               0
