Lon	Lat	PNV	C3cer_TeWW	C3cer_TeWWi	C3crps_TeSW	C3crps_TeSWi	C4crps_TeCo	C4crps_TeCoi	Rice_TrRi	Rice_TrRii	Pas	ID
87.5	46.5	3.75	3.75	-8216.58	3.75	-8414.02	3.75	-8100.44	3.75	-11436.59	3.75	1
-66.5	-42.5	28.38	43.38	-9362.11	43.37	-6825.78	100.61	-9283.92	25.89	-12738.21	27.25	2
39.5	-3.5	902.79	1033.070474	-7028.369142	919.900901	-7224.266906	963.069697	-5011.956121	533.397961	-14182.489956	731.888013	3
-4.5	56.5	9521.77	9757.18	9255.7	9627.95	9112.79	10115.74	9883.9	0	0	9762.45	4
94.5	54.5	1328.3	2057.38	1245.82	2001.39	1121.75	0	0	0	0	1888.52	5
25.5	0.5	5827.07	8299.21	4072.69	8208.55	3748.92	7412.81	5591.47	6950.11	-27.73	8848.95	6
63.5	59.5	812.94	1428.59	-745	1370.59	-919.9	0	0	0	0	1181.89	7
-114.5	32.5	0	0	-15997.24496	0	-16668.190112	0	-17131.411704	0	-25817.43953	0	8
-57.5	-33.5	5823.45	6583.33	2922.52	6500.33	2990.25	6717.55	2847.01	5813.87	-2990.43	5858.52	9
22.5	16.5	172.18	103.67	-22369.73	100.12	-21610.43	93.33	-21623.68	0	0	295.93	10
25.5	53.5	2044.56	2695.35	1144.88	2631.78	719.36	2766.81	996.85	0	0	2446.91	11
-92.5	16.5	4655.7	4221.77	-735.1	4151.98	-333.65	4467.6	-281.38	4285.96	-5928.52	5222.76	12
122.5	17.5	3339.79	3346.800496	3254.373922	3386.340018	3233.115242	3412.32916	3299.349824	3387.508434	2988.445686	3553.910346	13
-68.5	2.5	24293.58	23892.217241	23324.382036	23354.494937	22813.011547	24642.537756	24164.218012	24084.202118	21922.110354	27521.89929	14
-39.5	-8.5	1206.69	612.02	-9293.6	689.71	-7152.46	781.71	-7711.96	731.14	-17169.74	1237.76	15
147.5	-24.5	1528.14	1657.64	-9011.08	1779.57	-11248.49	1735.28	-9616.55	1214.22	-21352.6	1512.45	16
72.5	22.5	3699.1	3110.892989	-11480.647198	3129.709318	-10911.724683	3204.426779	-10700.342302	3086.349085	-18294.170418	4183.961636	17
-90.5	42.5	3450.64	4353.369718	2529.722101	4370.817973	2185.336543	4447.550299	1791.155965	4005.034555	-2043.880493	4161.188938	18
-90.5	15.5	16034.04	16276.30749	14163.16275	16144.04988	13664.30211	16958.90421	14819.69556	16502.85072	10104.83514	18601.06041	19
136.5	-18.5	1226.56	733.77	-14889.66	710.4	-14695.09	884.5	-14409.82	784.01	-21234.3	1193.26	20
-114.5	59.5	618.65	628.084724	606.577052	627.218515	601.916229	606.462595	606.462595	606.462595	606.462595	625.238665	21
-106.5	39.5	1933.76	2868.442784	522.967472	2858.99768	478.978592	511.286144	511.286144	511.286144	511.286144	2677.34126	22
13.5	52.5	867.82	1782.69	-782.08	1744.68	-1172.65	1762.21	-840.07	0	0	1536.03	23
15.5	40.5	2165.37	2976.39	-2049.34	3051.17	-2735.03	2898.08	-3415.31	2718	-6730.07	2922.63	24
-80.5	-4.5	216.84	76.107625	-9524.697572	76.684746	-8981.465874	89.163805	-9193.941012	79.589273	-18361.082352	182.02352	25
160.5	56.5	3855.07	4087.06	3563.33	4124.94	3678.19	0	0	0	0	4109.12	26
48.5	30.5	329.35	273.44	-14739.11	273.95	-13797.94	282.37	-15526.37	280.59	-24334.85	392.15	27
100.5	58.5	373.08	810.59	-1201.11	781.63	-1340.97	0	0	0	0	623.66	28
105.5	53.5	193.3	465.57	-1218.47	561.57	-746.75	0	0	0	0	350.5	29
76.5	19.5	4137.32	3258.43	-10970.75	3252.36	-10392.79	3491.24	-9678.18	3300.66	-15774.89	4837.48	30
119.5	-29.5	43.16	33.261152	-14254.48858	32.273114	-13747.181854	33.51047	-14389.009492	3.306056	3.306056	37.222538	31
147.5	-20.5	2060.59	1371.82	-10594.6	1357.21	-9992.07	1457.77	-10887.74	1345.46	-20966.11	2136.23	32
3.5	43.5	2675.99	3064.46	912.57	3038.9	662.84	3167.14	229.9	3166.7	-1442.77	3056.69	33
80.5	49.5	494.91	874.6	-4755.27	889.41	-5281.55	740.77	-4767.84	0	0	727.97	34
84.5	27.5	12897.67	11587.165075	5312.892863	11448.753812	4825.166501	12357.964098	5326.202503	12019.998165	845.557162	14126.734317	35
64.5	58.5	1055.3	1761.35	174.11	1696.77	-39.47	0	0	0	0	1478.77	36
-104.5	25.5	61.16	1.67	-14596.37	1.11	-12917.62	2.22	-12534.47	2.5	-20913.44	7.78	37
105.5	18.5	14147.43	13864.66	11048.24	13998.33	10873.76	14524.22	11354.03	14214.65	7922.68	16324.99	38
30.5	-20.5	882.29	270.06	-12216.86	384.6	-9401.82	380.27	-11052.4	254.76	-20613.67	833.53	39
28.5	47.5	712.24	1529.18	-966.63	1535.41	-1322.55	1598.56	-1430.58	1114.8	-5866.07	1170.88	40
-97.5	44.5	2019.83	2464.09	151.5	2539.98	108.61	2602.22	-317.52	2175.02	-4206.73	2449.38	41
11.5	6.5	7579.85	8606.95349	6362.87396	8485.06676	5967.242276	9149.187686	7221.048116	8631.460238	1310.980064	10491.185966	42
-69.5	-37.5	128.29	383.45304	-9311.181272	427.922608	-8433.175792	414.309272	-9751.91924	154.780816	-16027.368816	373.240552	43
-111.5	58.5	445.55	561.851933	169.315349	548.571578	107.271752	299.988815	299.988815	299.988815	299.988815	512.082455	44
-102.5	42.5	347.24	891.82	-2843.04	974.94	-3298.27	972.67	-3736.32	666.31	-8194.3	711.5	45
131.5	53.5	2466.69	2523.49	1896.81	2457.53	1795.06	0	0	0	0	2677.58	46
161.5	55.5	4593.13	402.358188	402.358188	4562.318252	3993.920424	402.358188	402.358188	402.358188	402.358188	4699.661824	47
-106.5	31.5	44.65	0.26	-15035.29	0	-13690.89	0	-14542.22	0	-22965.67	56.2	48
-108.5	26.5	666.91	270.53	-13502.11	249	-12234.01	350.62	-12579.19	272.44	-20513.68	638.86	49
-76.5	47.5	4777.89	5729.76	4380.21	5587.96	4072.73	0	0	0	0	5480.62	50
84.5	21.5	11178.47	9655.03	-512.96	9621.02	104.77	10011.59	-50.81	9884.61	-6685.31	11804.28	51
35.5	-1.5	1975.92	2058.708852	-4402.625352	1944.991812	-4403.376612	1977.628128	-2533.870056	1905.791856	-10719.338052	2376.966312	52
33.5	60.5	2293.96	2952.8527	1044.88685	2890.82545	893.90135	103.2282	103.2282	103.2282	103.2282	2703.45445	53
28.5	45.5	578.77	1159.53	-2338.05	1220.87	-2693.8	1268.82	-2944.49	1035.07	-6982.51	909.61	54
104.5	17.5	15543.69	13847.73714	11485.41662	13887.47726	10926.063	14839.32172	12307.95162	14331.04976	6088.25506	16992.18656	55
-54.5	-9.5	14411.39	13354.546212	12068.863242	13221.782152	12101.748952	13991.883484	13025.889741	13809.302371	9195.245352	16835.127888	56
66.5	47.5	190.41	431.39	-4857.72	462.81	-4973.23	329.21	-5834.38	0	0	393.1	57
118.5	29.5	10618.73	11002.04	10202.17	10816.7	10109.44	11086.81	9916.72	10702.98	6323.37	10858.56	58
17.5	-20.5	620.02	121.512672	-15777.689746	363.667706	-15472.458314	369.520454	-15052.615396	133.218168	-23852.328252	592.15667	59
86.5	59.5	1542.81	2070.68	584.94	2027.39	446.17	0	0	0	0	1989.25	60
-63.5	-3.5	11319.84	10827.79	9491.16	10946.88	8953.21	11586.48	10481.35	11373.28	6559.41	14823.95	61
16.5	38.5	1769.5	1902.84	406.86	1886.32	391.58	1917.11	-81.67	1912.82	-1065.45	1960.34	62
21.5	-4.5	4106.83	5474.24	2402.18	5377.51	2149.59	5524.9	2000.73	5379.96	-7262.93	6342.03	63
-14.5	12.5	5155	3141.96	-4401.81	3290.52	-2751.18	3770.77	-2936.13	3261.05	-13571.67	5883.06	64
-44.5	-21.5	8160.22	7831.97	5405.42	7503.15	5587.73	8211.65	6441.55	7861.68	534.81	10425.39	65
17.5	7.5	4452.89	4081.23	-95.54	4216.51	-384.89	4605.28	655.75	4528.63	-7468.57	5840.58	66
38.5	27.5	0	0	-18780.85	0	-17921.5	0	-19176.86	0	-29712.7	0	67
-89.5	54.5	2183.32	2662.194482	1434.7983	2597.030236	1251.076589	7.204956	7.204956	7.204956	7.204956	2780.971221	68
146.5	-23.5	1065.23	769.47	-13398.77	751.39	-13108.13	762.41	-13163.27	764.67	-22520.04	1018.05	69
111.5	22.5	11208.96	10856.36	10033.08	10588.3	9924.81	11617.04	10333.64	11180.79	6822.2	11642.65	70
90.5	48.5	4.86	9.835698	-3012.654786	20.160727	-2110.167057	0.431082	0.431082	0.431082	0.431082	2.463281	71
30.5	66.5	1508.45	242.106225	242.106225	1688.50596	1253.099285	242.106225	242.106225	242.106225	242.106225	1747.00232	72
128.5	44.5	1330.5	1692.56	455.94	1743.53	372.83	1741.34	525.22	1833.39	-1992.45	1588.42	73
25.5	35.5	644.67	687.91	-142.64	686.27	-221.82	705	-370.61	695.85	-830.56	711	74
-116.5	55.5	821.88	1253.914035	-78.654129	1180.826701	-691.417794	24.574212	24.574212	24.574212	24.574212	1093.003548	75
76.5	53.5	477.66	897.6	-2231.59	892.29	-2523.27	899.25	-2728.99	0	0	772.64	76
-112.5	58.5	508.11	545.791626	443.356962	542.39532	426.975936	468.172554	468.172554	468.172554	468.172554	539.266254	77
-53.5	-1.5	8938.01	7806.42	4767.36	8031.76	5323.31	8574.24	5138.12	8306.33	-53.31	10672.03	78
-75.5	-14.5	30.9	22.26	-12448.06	21.47	-13165.69	21.73	-12096.33	21.99	-21838.71	26.45	79
113.5	50.5	117.16	506.47	-1030.06	460.63	-1208.52	0	0	0	0	251.96	80
113.5	2.5	31676.68	31783.78	31370.6	31190.47	30237.45	32397.08	31917.29	31868.09	28383.22	36370.21	81
-87.5	20.5	2483.34	2089.22	-547.38	2314.05	-763.07	2344.59	-556.78	2173.31	-4369.75	2745.79	82
-83.5	35.5	6536.85	7447.554342	6387.648074	7474.280568	5968.640762	7615.447464	5735.617091	7263.793986	2263.391991	6925.300795	83
114.5	39.5	520.52	798.37	-3253.84	854.69	-2732.87	835.92	-2077.6	828.55	-5155.08	624.39	84
-91.5	43.5	3260.28	3944.284737	2370.027156	4006.486071	2254.361866	4061.63952	1941.755676	3710.015039	-1509.448652	3835.917257	85
-83.5	12.5	7606.98	7495.62	7406.36	7552.58	7336.45	7658.27	7542.53	7600.88	7176.8	8030.69	86
19.5	-5.5	4759.46	5980.67	3207.98	5862.02	3009.45	6113.74	2920.45	5985.58	-5874.16	7360.41	87
30.5	-11.5	4709.14	3526.382904	-389.372282	3633.657645	-287.233675	3905.724411	-508.041082	4200.023035	-9794.162083	7299.744801	88
48.5	48.5	137.57	499.64	-5502.65	549.24	-6044.4	403.92	-6770.79	0	0	472.7	89
