Lon	Lat	PNV	C3cer_TeWW	C3cer_TeWWi	C3crps_TeSW	C3crps_TeSWi	C4crps_TeCo	C4crps_TeCoi	Rice_TrRi	Rice_TrRii	Pas	ID
35.5	-1.5	1979.3	1879.714556	-4169.826364	1758.935672	-4269.64114	1757.71784	-2532.340528	1810.313948	-11446.459552	1992.9413	52
33.5	60.5	2360.87	3133.465	1110.7177	3035.39605	886.32135	106.23915	106.23915	106.23915	106.23915	2790.74415	53
28.5	45.5	570.38	1164.33	-2604.61	1222.07	-2824.16	1249.24	-3203.98	1049.26	-7408.42	837.69	54
104.5	17.5	16907.53	15686.48052	13263.11846	15705.3367	12664.62112	16729.4052	14073.82486	16181.1148	7823.60256	18804.53924	55
-54.5	-9.5	13754.27	12405.388895	11038.154598	12238.177708	11221.128246	12900.427868	11926.792777	12688.415353	7882.478503	16048.689413	56
66.5	47.5	206.85	487.16	-4620.47	536.27	-4784.93	388.11	-5829.57	0	0	436.38	57
118.5	29.5	10588.99	11116.03	10117.37	10931.75	9993.48	11232.65	9532.5	11060.48	5792.28	10874.89	58
17.5	-20.5	657.53	116.672342	-17041.52764	191.077574	-16626.47509	210.296994	-16186.379346	128.928344	-25316.125378	563.07476	59
86.5	59.5	1952.03	2337.26	696.93	2273.27	544.25	0	0	0	0	2323.25	60
-63.5	-3.5	12218.52	11851.96	10619.65	12029.14	10027.57	12796.54	11520.27	12563.88	7641.75	17523.2	61
16.5	38.5	1853.93	2000.78	507.68	1981.26	496.72	2001	18.53	2015.26	-1043.12	2064.4	62
21.5	-4.5	3170.55	5401.15	2217.72	5269.11	1850.9	5306.88	1615.64	5171.46	-7622.61	8508.44	63
-14.5	12.5	5597.67	4088.94	-3424.9	4334.63	-1765.53	4736.4	-1940.14	4167.13	-12491.96	6849.28	64
-44.5	-21.5	7437.73	6920.93	4294.45	6620.11	4434.75	7347.17	5270.15	7044.63	-1053.17	8736.16	65
17.5	7.5	3939.22	3224	-945.04	3369.67	-1312.2	3712.02	-273.37	3844.86	-9058.76	5161.7	66
38.5	27.5	30.33	21.31	-18777.75	21.59	-17991.38	22.95	-19373.22	21.86	-29990.76	31.42	67
-89.5	54.5	1955.86	2520.430748	1087.943607	2441.35257	868.679574	6.454338	6.454338	6.454338	6.454338	2636.496463	68
146.5	-23.5	649.98	464.95	-14872.17	453.66	-14607.07	505.35	-14666.65	481.9	-24216.8	666.93	69
111.5	22.5	12049.03	11222.05	10060.68	10977.59	9999.14	11784.66	10258.85	11432.92	6208.54	12773.85	70
