     Lon      Lat             PNV      C3cer_TeWW     C3cer_TeWWi     C3crps_TeSW    C3crps_TeSWi     C4crps_TeCo    C4crps_TeCoi       Rice_TrRi      Rice_TrRii             Pas
   87.50    46.50               0         3084856        19830110         8733951        40118675         4996642        22034097         1957392        15632325               0
  -66.50   -42.50               0         2287540        21562189         5651073        18249491         5071346        26128457         1849167        10919587               0
   39.50    -3.50               0         5918648        24923966        16930086        60414676        11929036        13995664        18633370        11380970               0
   -4.50    56.50               0        10612774        11343630        32612168        32790276         1625002         1671622               0               0               0
   94.50    54.50               0         8201251         7981038        21347276        20760042               0               0               0               0               0
   25.50     0.50               0         8106580        28671811        19584324        74943581         8802791        37485217        10280976        24822184               0
   63.50    59.50               0         6777182        18558516        17986946        47918529               0               0               0               0               0
 -114.50    32.50               0          600890         8528763         1482842        24316666         1408274        33441262          359519        21972491               0
  -57.50   -33.50               0        10842493        13976651        23200300        32819248        10665276        15962192        16685494        18195714               0
   22.50    16.50               0         1443386         9156134         3658046        23039082         5842505        41232077               0               0               0
   25.50    53.50               0         9275592        10143683        24368080        26493878         8694386         9539364               0               0               0
  -92.50    16.50               0        23132067        21918993        28350377        32983064        22475641        24732277        18376843        22878584               0
  122.50    17.50               0         5934090         6465217         3654666        14536464         3579064         9379615         2645526         2844623               0
  -68.50     2.50               0        24120520        24809350        56828452        58688292        35567225        35778861        22234509        23363566               0
  -39.50    -8.50               0        13740538        30788352        16434092        23901035        16058352        21493296         8059346        12942016               0
  147.50   -24.50               0         6430906         9139207        10686808        34224971        11395733        20047419        12981009        24888536               0
   72.50    22.50               0         7302491        10223488        15125858        26922190        13733011        25295321        10044317        20987336               0
  -90.50    42.50               0        11769710        12562705        24524404        25601207        20402327        21434210        14042093        14344538               0
  -90.50    15.50               0        17595782        26343843        28757865        62864228        22586691        22598698        13995000        14740126               0
  136.50   -18.50               0         8903337        13033527        20051579        35177445        19379998        41903337        12531743        26210427               0
 -114.50    59.50               0         9265075         9968101        24868811        29487060               0               0               0               0               0
 -106.50    39.50               0         8086770        10693689        19321350        25625838               0               0               0               0               0
   13.50    52.50               0        16869208        21521833        38528693        49107220        16523731        18844815               0               0               0
   15.50    40.50               0         6222976        15871066        14047090        43255464        11768786        28173491         7176917        12922722               0
  -80.50    -4.50               0        11202178        14028468        20882508        26146044        17296637        19877484        12654890        19357441               0
  160.50    56.50               0         7179082         7581060        13824287        14132051               0               0               0               0               0
   48.50    30.50               0         3190796         5305295         7676961        14972932         5174533        34104406         3278520        17460787               0
  100.50    58.50               0         5904840        14149662        15137654        35625487               0               0               0               0               0
  105.50    53.50               0        12563403        14614012        16452726        15502610               0               0               0               0               0
   76.50    19.50               0        12936252        16820364        24890687        36165402        16274046        27365200        13728778        21630969               0
  119.50   -29.50               0         4710770        10601732        11751920        33355449         6181942        34380274               0               0               0
  147.50   -20.50               0         8144903        11576023        16386005        23996465        12842507        19576710        16348964        26916314               0
    3.50    43.50               0         5938756        11609850        14169370        33273763         8453414        18297591         3165354         5123256               0
   80.50    49.50               0         3373316        25187924         7395921        58189701         6903141        23121071               0               0               0
   84.50    27.50               0        11625769        14415547        29003553        34765714        17391940        23079248        14011317        21336408               0
   64.50    58.50               0         6778403         7953087        18003822        21012450               0               0               0               0               0
 -104.50    25.50               0        15506137        13089462        26593803        28865270        17421798        24563722        14021097        24042558               0
  105.50    18.50               0        16074085        24285539        21202708        58536068        20824378        25496317        13484566        20674166               0
   30.50   -20.50               0        12701172        14617112        13013320        16672980        13807837        17834637        22006994        15442038               0
   28.50    47.50               0         7609612         8671238        16451330        18427349         8142428         8940705        13443540         9719994               0
  -97.50    44.50               0        10434163        12024736        17655367        19508385        14031058        17118409         9570807        11862312               0
   11.50     6.50               0         9125550        25820267        23021019        62579997        12785241        35028889        10741298        24660553               0
  -69.50   -37.50               0          765808         8815913         2206257        15872290         3835762        10538460         1698811        11482706               0
 -111.50    58.50               0         8840582         9740551        24100282        27560936               0               0               0               0               0
 -102.50    42.50               0         8345287        11861322        15885699        25603511        11906639        22821058         7382050        11855134               0
  131.50    53.50               0        11832019        12132775        29617641        30287507               0               0               0               0               0
  161.50    55.50               0               0               0        14838570        16060634               0               0               0               0               0
 -106.50    31.50               0         5780854        10464325        10787661        26151014        10486637        28739972         4471428        21334373               0
 -108.50    26.50               0        13273662        10173764        23030718        30124910        19959292        28897440        18517914        23533182               0
  -76.50    47.50               0        10125130        10830509        26319460        28780940               0               0               0               0               0
   84.50    21.50               0         9971150        12762648        18789748        28211058        16407873        22622456        13646325        21919865               0
   35.50    -1.50               0         7777034        27328750        19815928        61274298         9915566        10476120         8770396        10346094               0
   33.50    60.50               0         7330822        20421976        19681602        50384676               0               0               0               0               0
   28.50    45.50               0         6521582         8809726        13162416        17500200         7750730        10482479         6339754         9696094               0
  104.50    17.50               0        16844100        18553554        22026900        46601648        20036344        34039351        17583848        18861307               0
  -54.50    -9.50               0        11787188        26305830        21194270        23007684        13740350        35788818        11038788        12192532               0
   66.50    47.50               0         1350849         4005966         2724988         8314708         2778118         7130501               0               0               0
  118.50    29.50               0        17530987        18002408        44480583        45551103        26358608        27029554        22003444        21393414               0
   17.50   -20.50               0        16177849        13562269         8923112        34562258         7493349        35634258        15525609        25266257               0
   86.50    59.50               0        11107166        14894756        28889087        38654330               0               0               0               0               0
  -63.50    -3.50               0        22755946        24403043        21076340        56608124        10164144        34487588         9226634        22603852               0
   16.50    38.50               0         4238208         6475373        10193310        17737240         4187865        13800427         3783968         8472497               0
   21.50    -4.50               0         8729478        23759761        20265679        59479596        12273527        37131146        11286259        25053122               0
  -14.50    12.50               0        18601168        24962364        15818846        17176350        15000229        16034308        11527046        13530487               0
  -44.50   -21.50               0         8739469        26708668        32549192        35480111        17959792        18884363        12568697        13506522               0
   17.50     7.50               0        29200572        26808016        23196396        64883829        14158149        37952734        11627278        26448863               0
   38.50    27.50               0          621775         6625466         1528954        16971387         1613746        30252204          474840        21860234               0
  -89.50    54.50               0        10194300        11636110        27051416        31103730               0               0               0               0               0
  146.50   -23.50               0        10464566         9758497        23795558        29159570        18626819        36967950        12191336        24637227               0
  111.50    22.50               0        21042298        20161112        47573430        45673041        30991578        31981651        24985294        26551454               0
   90.50    48.50               0         3766755         9247043        10183070         9888675               0               0               0               0               0
   30.50    66.50               0               0               0        22712367        24058950               0               0               0               0               0
  128.50    44.50               0        20367730        21105394        45374548        45415529        21357436        21721837         7403098         7388956               0
   25.50    35.50               0         3799592         3810258         8943040        13019935         3209402         8593103         2208228         4800596               0
 -116.50    55.50               0        11255076        11643842        31196828        47735290               0               0               0               0               0
   76.50    53.50               0         3499707         5304244         8646738        12269482         4462080         6455933               0               0               0
 -112.50    58.50               0         7997708         8659552        22416824        25503747               0               0               0               0               0
  -53.50    -1.50               0        21632029        23879513        20540703        23533746        12947162        35267835         9107063        11400140               0
  -75.50   -14.50               0         1943853        10530018         4796140        28522868         4438165        14140694         1853888        15168178               0
  113.50    50.50               0         8493581         7916134        21204715        20407985               0               0               0               0               0
  113.50     2.50               0        31548401        31686167        35222160        73831066        20503752        38355835        18055016        26116882               0
  -87.50    20.50               0        18864266        19706347        16965456        47239094        19363744        25549758        17413382        16345077               0
  -83.50    35.50               0        16946944        17632230        39876253        42274754        28418808        28348514        18350668        17503837               0
  114.50    39.50               0        21511516        24038632        44166886        47341297        21230412        22922691         8108428         9523578               0
  -91.50    43.50               0        12451824        13409043        23236492        23874637        19098895        20110929        13356916        13460137               0
  -83.50    12.50               0         6894967         7821753         5832359        18507754         5302149        11453336         3442766         7643698               0
   19.50    -5.50               0         9127946        23540492        20932507        60246729        13172669        37198526        12285422        25251722               0
   30.50   -11.50               0         8051672        29164944        18541210        66269730        12478088        37131103        10525164        24957470               0
   48.50    48.50               0         1781782         5885972         3913829        13409053         4161486        10486283               0               0               0
   25.50    45.50               0        11485648        11606465        30212248        31082129        10306165        10332368               0               0               0
  125.50    50.50               0        17528061        18310172        33279926        33806206        17279068        17318699               0               0               0
  126.50    44.50               0        22728256        23408546        43456621        44636884        26307953        27081194        11659702        11956674               0
  123.50    48.50               0        18373677        19241724        33427452        33945234        17678057        17356037         7100926         7265148               0
 -102.50    41.50               0         8219278        11859859        15388554        24408244        12851191        21791961         8976503        13594688               0
  -38.50   -10.50               0        16214076        25287179        21795786        26157202        12962987        14960120        16736366        12808145               0
   21.50    66.50               0         9605668        12213501        25451186        24093127               0               0               0               0               0
   64.50    48.50               0          890891        21396615         1964529        47765468         2212854        25076254               0               0               0
  -97.50    21.50               0         9827172        10439489        14635360        19458604        11908096        14270122        10560349        12876784               0
  123.50   -33.50               0        11586360        18911880        26542304        45422912        10079983        24356427         6899618        17131016               0
   39.50    51.50               0         6179703         7013642        13877604        15552610         6940711         7566766               0               0               0
  -67.50    46.50               0        14125827        14220472        61196142        65313217        17695299        18405163               0               0               0
   44.50    50.50               0         4933879         6615052        10050494        12608802         6412278         8076775         8380313        14143749               0
   28.50    58.50               0         7781967         8254676        17472496        18063382         6439450         6644488               0               0               0
   29.50   -17.50               0        15233808        13052852        15409161        18357287        16174502        20262694        23494740        15751403               0
  106.50    40.50               0         4570075        17949513        13927847        37718351         6645318        20615589         2710952        14455906               0
  171.50   -43.50               0        21222654        22768840        62404411        60758471        13674567        14684159               0               0               0
  -70.50   -16.50               0         7310736         7629550        20503043        23042562               0               0               0               0               0
   13.50    13.50               0         2892602         5519828         7952445        12154238        10992708        17985453         4937372        11568865               0
 -120.50    47.50               0         4572888        11889510        11556231        60385379         3479510        18078322         1992532         6886942               0
  -39.50   -11.50               0        13614233        30021130        17476666        27780242        12162010        17339411        14901940        12395616               0
  -57.50   -14.50               0         7787782        20348363        17656015        17978652        19736866        20376262        14799625        16296864               0
   26.50    61.50               0        10248532        14699226        24205976        27087842               0               0               0               0               0
   -0.50    53.50               0        14026534        16039602        36962515        48268162         9048547        13681967               0               0               0
  -97.50    50.50               0        10733454        12898480        29915448        39450027        13137935        18850414               0               0               0
    4.50     8.50               0         8160220         8273872        18877612        19059456        15503766        16304834        12794948        14677423               0
   39.50    49.50               0         6604834         8590015        13814177        17239734         7534378         9128655         6599226         9161658               0
  -93.50    48.50               0        14711826        17164956        37943586        44601086        14574085        17588374               0               0               0
  115.50    41.50               0        19003316        24236113        39065240        44771399        17554895        17918872               0               0               0
  -64.50     9.50               0        10869147        27348543        20344233        25591798        21950147        27542150        19858085        24737053               0
   54.50    39.50               0          345816        10374474         1090650        22788375         1163442        17990082          634905        15383065               0
  -72.50    -6.50               0        26465914        27013956        62511164        64566325        36449400        36437019        23373393        24437163               0
 -108.50    34.50               0         4990896        21668254        38260378        42588346        12641688        19265480         4910130        10359474               0
  -97.50    23.50               0         4458241         4854817         5787937         7897825         4792240         6602330         4208286         6283360               0
   42.50    52.50               0         5470513         6358947        12577983        14263908         6402401         7009264               0               0               0
  119.50    31.50               0        17266247        18331044        43078413        44574638        27502308        28348380        24833376        22109306               0
   62.50    53.50               0         4208263         5583778         9614994        12209409         5168821         6593939               0               0               0
   42.50    34.50               0          630024         3900589         2297734        20457246          833884        35033149          607452        18799054               0
  -96.50    47.50               0        11911253        14602142        22605015        26241980        14707375        17953256         7633126         9733741               0
 -121.50    43.50               0         3295923        11456862        10643258        52352875               0               0               0               0               0
   73.50    56.50               0         5784402         6951431        14480034        16858489               0               0               0               0               0
