     Lon      Lat             PNV      C3cer_TeWW     C3cer_TeWWi     C3crps_TeSW    C3crps_TeSWi     C4crps_TeCo    C4crps_TeCoi       Rice_TrRi      Rice_TrRii             Pas
   87.50    46.50               0         3496689        19441589         9619779        38945342         5712856        22025671         2346190        15692655               0
  -66.50   -42.50               0         2219762        21435103         5100368        17105721         4740606        25715032         2404648        11248490               0
   39.50    -3.50               0         6024527        25082785        17501833        61304062        12170143        13536413        19236215        10732456               0
   -4.50    56.50               0        10889148        11374338        32851692        32888542         1651642         1744880               0               0               0
   94.50    54.50               0         5071563         4924754        13953471        13519718               0               0               0               0               0
   25.50     0.50               0         6077116        27183537        15367550        70997402         6968876        36727199         8666366        24121872               0
   63.50    59.50               0         4759192        17940287        12854484        44378297               0               0               0               0               0
 -114.50    32.50               0          872260         8073250         2103116        23318413         2185978        33609414          484933        21044429               0
  -57.50   -33.50               0        10503665        13157817        21402630        30400393         9083344        15604982        13023616        17846577               0
   22.50    16.50               0         1123858         8957807         3118154        21783006         5185373        41721940               0               0               0
   25.50    53.50               0         8181933         8865470        20711159        22816452         8153303         9013106               0               0               0
  -92.50    16.50               0        20318990        20454938        24543834        30149072        21749888        24732276        16852206        21949366               0
  122.50    17.50               0         5820276         6278690         2848489        13543761         3311662         9163637         2528251         2708256               0
  -68.50     2.50               0        23225042        24086080        54004250        55657442        34608640        34795378        21620460        22729710               0
  -39.50    -8.50               0        16456823        29935961        17366040        22832705        17019635        21086600         9128043        12520420               0
  147.50   -24.50               0         6044006         8334037         9139207        29979527        11271004        20183487        12881780        23679742               0
   72.50    22.50               0         6771400         9733250        14135171        24930601        14607937        25915521        10009074        20326525               0
  -90.50    42.50               0        10759686        11644501        21344078        23097014        18763986        20773443        14078098        14128506               0
  -90.50    15.50               0        16311257        26022712        24948583        61812246        22322518        22166417        12972839        14061870               0
  136.50   -18.50               0         6756510        12434159        15104070        32758178        19356364        42009690        10049838        25693364               0
 -114.50    59.50               0         8344855         8887842        23096958        33047912               0               0               0               0               0
 -106.50    39.50               0         7581346         8849338        20145988        24552922               0               0               0               0               0
   13.50    52.50               0        15630343        19952604        35190640        46312892        15247508        17799954               0               0               0
   15.50    40.50               0         5051010        14847659        11307000        40597906        10506886        27905001         5752926        12459925               0
  -80.50    -4.50               0        10870346        13902601        20779525        25699788        17817769        20286945        12842443        19495638               0
  160.50    56.50               0         6613800         7172801        15149559        16060291               0               0               0               0               0
   48.50    30.50               0         2905054         4829056         6686386        13858534         5432743        34135392         3294953        16581585               0
  100.50    58.50               0         3963524        14276772        10804356        36700144               0               0               0               0               0
  105.50    53.50               0        12317330        14764390         9398628         9125214               0               0               0               0               0
   76.50    19.50               0        13421766        16928256        26962214        36165402        17420600        28102270        14361698        20932896               0
  119.50   -29.50               0         3100506         9641575         8671416        30755024         4186368        34391119               0               0               0
  147.50   -20.50               0         7460816        10988136        15114032        22745870        12691828        20133064        13398220        25708354               0
    3.50    43.50               0         6150655        10611693        14191676        30870379         8870643        17795708         3035469         4844243               0
   80.50    49.50               0         2985236        24165480         6283920        56167204        10237366        22902566               0               0               0
   84.50    27.50               0        12072133        15034371        29774546        35313525        18811017        24113304        14142591        21117618               0
   64.50    58.50               0         4926479         5172203        13251149        13892430               0               0               0               0               0
 -104.50    25.50               0        16180317        12705698        26023343        27890303        17084384        24395016        14012149        23774125               0
