Lon	Lat	PNV	C3cer_TeWW	C3cer_TeWWi	C3crps_TeSW	C3crps_TeSWi	C4crps_TeCo	C4crps_TeCoi	Rice_TrRi	Rice_TrRii	Pas	ID
87.5	46.5	3.96	3.96	-8297.43	3.96	-8512.15	3.96	-8177.97	3.96	-11470.08	3.96	1
-66.5	-42.5	11.13	20.67	-9236.74	25.89	-6769.23	99.47	-9194.34	8.86	-12651.28	8.18	2
39.5	-3.5	484.18	572.056763	-8071.756554	474.206892	-8276.907346	450.201225	-6262.321528	268.831075	-15296.247186	342.14422	3
-4.5	56.5	9502.51	9734.47	9036.96	9599.8	8865.18	10059.27	9691.28	0	0	9691.99	4
94.5	54.5	1463.7	2091.89	1406.5	2030.54	1292.96	0	0	0	0	1938.61	5
25.5	0.5	4716.11	7334.23	2628.76	7250.51	2310.79	6646.08	4239.33	6196.68	-1619.67	7911.77	6
63.5	59.5	725.39	1353.39	-1060.3	1298.67	-1303.4	0	0	0	0	1124.98	7
-114.5	32.5	8.57	0.227962	-15930.777128	0.227962	-16626.05728	0.227962	-17097.007668	0.227962	-25960.943812	8.57	8
-57.5	-33.5	5317.88	6108.79	2498.4	6029.57	2477.88	6188.26	2381.82	5453.1	-3278.94	5407.94	9
22.5	16.5	257.83	168.93	-22214.6	161.25	-21882.38	157.12	-21572.9	0	0	424.41	10
25.5	53.5	1998.93	2600.45	1062.54	2506.64	623.22	2654.86	933.69	0	0	2337.89	11
-92.5	16.5	5212.12	4847.99	449.35	4833.69	721.52	5164.74	810.23	4939.65	-4863.42	5887.66	12
122.5	17.5	3208.69	3228.561186	3094.509792	3267.548956	3071.417348	3293.749062	3135.331326	3269.269124	2810.422424	3415.386036	13
-68.5	2.5	26194.44	25645.789562	25407.283441	25073.047189	24826.558849	26715.0195	26404.326355	26121.171462	24216.673734	29716.826175	14
-39.5	-8.5	517.59	237.31	-11767.33	260.47	-9489.03	290.63	-9935.87	276.61	-20040.67	464.28	15
147.5	-24.5	1144.15	1007.09	-9923.56	1093.69	-12053.02	1094.82	-10410.74	811.16	-22473.97	1014.37	16
72.5	22.5	3575.91	2927.160031	-11566.015281	2929.072543	-11045.772173	3025.883502	-10919.596186	2906.441151	-18242.246038	4052.583694	17
-90.5	42.5	3352.63	4349.110342	2670.018268	4388.486404	2377.147558	4460.749177	1942.691008	3992.486008	-1983.996284	4160.94916	18
-90.5	15.5	18661.51	18668.63287	17526.28636	18324.65719	16921.60165	19299.04183	18041.46067	18816.00535	13658.09842	21420.67807	19
136.5	-18.5	836.6	495.7	-15889.72	474.97	-15555.76	606.7	-15384.14	524.63	-22417.81	800.96	20
-114.5	59.5	630.6	639.606249	617.57042	638.951224	613.121963	618.17718	618.17718	618.17718	618.17718	637.074011	21
-106.5	39.5	1851.53	2796.349352	426.922904	2788.654976	333.670892	489.544532	489.544532	489.544532	489.544532	2600.003	22
13.5	52.5	800.3	1666.64	-765.96	1655.76	-1071.72	1678.27	-709.93	0	0	1403.01	23
15.5	40.5	2263.6	3038.78	-2059.55	3107.58	-2692.15	3084.35	-3488.99	2859.59	-6858.68	3005.81	24
-80.5	-4.5	360.39	111.698154	-9085.235875	111.121033	-8537.339904	145.653683	-8720.958992	118.37762	-17838.666607	330.20941	25
160.5	56.5	3940.76	4253.4	3685.59	4290.95	3808.01	0	0	0	0	4254.92	26
48.5	30.5	445	357.69	-14572.8	359.48	-13593.04	381.68	-15203.54	370.2	-24143.64	523.38	27
100.5	58.5	407.93	827.78	-1298.44	807.18	-1488.91	0	0	0	0	650	28
105.5	53.5	181.39	452.56	-1243.59	546.91	-749.04	0	0	0	0	330.71	29
76.5	19.5	4558.69	3388.29	-10797.67	3389.74	-10258.31	3661.58	-9463.1	3480.83	-15120.73	5280.24	30
