Lon	Lat	PNV	C3cer_TeWW	C3cer_TeWWi	C3crps_TeSW	C3crps_TeSWi	C4crps_TeCo	C4crps_TeCoi	Rice_TrRi	Rice_TrRii	Pas	ID
87.5	46.5	0	3496689	19441589	9619779	38945342	5712856	22025671	2346190	15692655	0	1
-66.5	-42.5	0	2219762	21435103	5100368	17105721	4740606	25715032	2404648	11248490	0	2
39.5	-3.5	0	5422676.7527	22577014.7785	15753399.8833	55179786.2062	10954345.7143	12184125.3413	17314517.1215	9660283.6456	0	3
-4.5	56.5	0	10889148	11374338	32851692	32888542	1651642	1744880	0	0	0	4
94.5	54.5	0	5071563	4924754	13953471	13519718	0	0	0	0	0	5
25.5	0.5	0	6077116	27183537	15367550	70997402	6968876	36727199	8666366	24121872	0	6
63.5	59.5	0	4759192	17940287	12854484	44378297	0	0	0	0	0	7
-114.5	32.5	0	849057.884	7858501.55	2047173.1144	22698143.2142	2127830.9852	32715403.5876	472033.7822	20484647.1886	0	8
-57.5	-33.5	0	10503665	13157817	21402630	30400393	9083344	15604982	13023616	17846577	0	9
22.5	16.5	0	1123858	8957807	3118154	21783006	5185373	41721940	0	0	0	10
25.5	53.5	0	8181933	8865470	20711159	22816452	8153303	9013106	0	0	0	11
-92.5	16.5	0	20318990	20454938	24543834	30149072	21749888	24732276	16852206	21949366	0	12
122.5	17.5	0	4722571.9464	5094529.066	2311263.9746	10989407.6754	2687082.5468	7435375.0618	2051422.8614	2197478.9184	0	13
-68.5	2.5	0	18744931.3982	19439875.168	43586830.175	44921121.4382	27932633.344	28083349.5838	17449873.266	18345148.941	0	14
-39.5	-8.5	0	16456823	29935961	17366040	22832705	17019635	21086600	9128043	12520420	0	15
147.5	-24.5	0	6044006	8334037	9139207	29979527	11271004	20183487	12881780	23679742	0	16
72.5	22.5	0	6744991.54	9695290.325	14080043.8331	24833371.6561	14550966.0457	25814450.4681	9970038.6114	20247251.5525	0	17
-90.5	42.5	0	10758610.0314	11643336.5499	21341943.5922	23094704.2986	18762109.6014	20771365.6557	14076690.1902	14127093.1494	0	18
-90.5	15.5	0	16294945.743	25996689.288	24923634.417	61750433.754	22300195.482	22144250.583	12959866.161	14047808.13	0	19
136.5	-18.5	0	6756510	12434159	15104070	32758178	19356364	42009690	10049838	25693364	0	20
-114.5	59.5	0	164393.6435	175090.4874	455010.072600001	651043.866400002	0	0	0	0	0	21
-106.5	39.5	0	5576838.1176	6509573.0328	14819388.7728	18061129.4232	0	0	0	0	0	22
13.5	52.5	0	15630343	19952604	35190640	46312892	15247508	17799954	0	0	0	23
15.5	40.5	0	5051010	14847659	11307000	40597906	10506886	27905001	5752926	12459925	0	24
