Lon	Lat	PNV	C3cer_TeWW	C3cer_TeWWi	C3crps_TeSW	C3crps_TeSWi	C4crps_TeCo	C4crps_TeCoi	Rice_TrRi	Rice_TrRii	Pas	ID
87.5	46.5	0	2494305	19845651	8042384	40724768	4398394	22126784	1642332	15210011	0	1
-66.5	-42.5	0	2211289	21536772	5828992	18300325	5319401	26119270	2170761	11277726	0	2
39.5	-3.5	0	5565629.7346	22977282.9478	16449104.2752	56066093.0738	10623648.0742	11543399.9575	18629960.1656	9816492.4002	0	3
-4.5	56.5	0	11091822	11902520	33680815	33772940	1178793	1212092	0	0	0	4
94.5	54.5	0	8061116	8054442	20993601	20933542	0	0	0	0	0	5
25.5	0.5	0	8410999	28964956	20373560	75326924	8093677	36776103	10426874	25211247	0	6
63.5	59.5	0	7267099	18943450	19246732	48192650	0	0	0	0	0	7
-114.5	32.5	0	556604.721	8433973.6832	1377360.0266	22933993.1672	1237825.0834	32490344.747	268570.794	21672871.7016	0	8
-57.5	-33.5	0	12997815	14296656	26607403	33318078	9583439	15982604	20501641	18910226	0	9
22.5	16.5	0	1619677	9839264	4065720	23545920	5914192	41028964	0	0	0	10
25.5	53.5	0	9337110	10184695	24641494	26897165	8842628	9583837	0	0	0	11
-92.5	16.5	0	21406574	21803960	26269328	31947769	20661260	24482800	16906335	22084690	0	12
122.5	17.5	0	4799528.368	5220224.6628	2798656.538	11097146.1788	2834510.6812	7407558.647	2080191.0484	2277145.416	0	13
-68.5	2.5	0	20718570.1548	21052142.9706	47691627.781	48942524.6296	29138359.2269	29359408.582	18688870.2322	19584145.9072	0	14
-39.5	-8.5	0	18866248	31004291	18843517	23685096	17266117	20827793	9686903	13089084	0	15
147.5	-24.5	0	7194250	9243775	11941618	34423650	12382230	20160809	15678244	25258391	0	16
72.5	22.5	0	7589387.5022	10000493.3728	15779008.9268	26227133.702	13833898.5582	24942937.6756	10180672.9213	21010802.0465	0	17
-90.5	42.5	0	11751840.6984	12661606.7127	24129666.792	25682111.532	19277999.0073	21251052.6822	13169445.9237	13875080.3532	0	18
-90.5	15.5	0	16648943.391	26815308.849	27910487.574	62723927.286	22240217.52	23247864.864	13417946.622	14944882.158	0	19
136.5	-18.5	0	11017471	13720075	25042679	36986446	24059558	41454288	15013648	27056531	0	20
-114.5	59.5	0	181621.195	195921.188600001	497347.066800001	573801.387800001	0	0	0	0	0	21
-106.5	39.5	0	5916014.4504	7911935.5848	14434553.748	18641642.8752	0	0	0	0	0	22
