     Lon      Lat             PNV      C3cer_TeWW     C3cer_TeWWi     C3crps_TeSW    C3crps_TeSWi     C4crps_TeCo    C4crps_TeCoi       Rice_TrRi      Rice_TrRii             Pas
   87.50    46.50            3.96            3.96        -8297.43            3.96        -8512.15            3.96        -8177.97            3.96       -11470.08            3.96
  -66.50   -42.50           11.13           20.67        -9236.74           25.89        -6769.23           99.47        -9194.34            8.86       -12651.28            8.18
   39.50    -3.50          484.18          581.81        -9021.36          473.10        -9249.28          446.43        -7011.10          244.93       -17047.68          326.38
   -4.50    56.50         9502.51         9734.47         9036.96         9599.80         8865.18        10059.27         9691.28            0.00            0.00         9691.99
   94.50    54.50         1463.70         2091.89         1406.50         2030.54         1292.96            0.00            0.00            0.00            0.00         1938.61
   25.50     0.50         4716.11         7334.23         2628.76         7250.51         2310.79         6646.08         4239.33         6196.68        -1619.67         7911.77
   63.50    59.50          725.39         1353.39        -1060.30         1298.67        -1303.40            0.00            0.00            0.00            0.00         1124.98
 -114.50    32.50            8.57            0.00       -16366.35            0.00       -17080.63            0.00       -17564.45            0.00       -26670.61            8.57
  -57.50   -33.50         5317.88         6108.79         2498.40         6029.57         2477.88         6188.26         2381.82         5453.10        -3278.94         5407.94
   22.50    16.50          257.83          168.93       -22214.60          161.25       -21882.38          157.12       -21572.90            0.00            0.00          424.41
   25.50    53.50         1998.93         2600.45         1062.54         2506.64          623.22         2654.86          933.69            0.00            0.00         2337.89
  -92.50    16.50         5212.12         4847.99          449.35         4833.69          721.52         5164.74          810.23         4939.65        -4863.42         5887.66
  122.50    17.50         3208.69         3233.18         3067.97         3281.23         3039.51         3313.52         3118.28         3283.35         2717.85         3463.43
  -68.50     2.50        26194.44        25514.66        25219.15        24805.03        24499.63        26839.44        26454.49        26103.66        23743.98        30558.69
  -39.50    -8.50          517.59          237.31       -11767.33          260.47        -9489.03          290.63        -9935.87          276.61       -20040.67          464.28
  147.50   -24.50         1144.15         1007.09        -9923.56         1093.69       -12053.02         1094.82       -10410.74          811.16       -22473.97         1014.37
   72.50    22.50         3575.91         2924.62       -11625.30         2926.54       -11103.02         3023.73       -10976.35         2903.82       -18327.67         4054.45
  -90.50    42.50         3352.63         4349.21         2669.95         4388.59         2377.05         4460.86         1942.55         3992.55        -1984.53         4161.03
  -90.50    15.50        18661.51        18668.64        17525.15        18324.32        16919.86        19299.68        18040.84        18816.16        13653.09        21423.44
  136.50   -18.50          836.60          495.70       -15889.72          474.97       -15555.76          606.70       -15384.14          524.63       -22417.81          800.96
 -114.50    59.50          630.60         1087.77          -30.80         1054.52         -256.61            0.00            0.00            0.00            0.00          959.23
 -106.50    39.50         1851.53         3135.95          -85.13         3125.49         -211.90            0.00            0.00            0.00            0.00         2869.03
   13.50    52.50          800.30         1666.64         -765.96         1655.76        -1071.72         1678.27         -709.93            0.00            0.00         1403.01
   15.50    40.50         2263.60         3038.78        -2059.55         3107.58        -2692.15         3084.35        -3488.99         2859.59        -6858.68         3005.81
  -80.50    -4.50          360.39           97.53        -9623.36           96.92        -9044.25          133.42        -9238.33          104.59       -18875.48          328.49
  160.50    56.50         3940.76         4253.40         3685.59         4290.95         3808.01            0.00            0.00            0.00            0.00         4254.92
   48.50    30.50          445.00          357.69       -14572.80          359.48       -13593.04          381.68       -15203.54          370.20       -24143.64          523.38
  100.50    58.50          407.93          827.78        -1298.44          807.18        -1488.91            0.00            0.00            0.00            0.00          650.00
  105.50    53.50          181.39          452.56        -1243.59          546.91         -749.04            0.00            0.00            0.00            0.00          330.71
   76.50    19.50         4558.69         3388.29       -10797.67         3389.74       -10258.31         3661.58        -9463.10         3480.83       -15120.73         5280.24
  119.50   -29.50           84.72           69.70       -15784.03           68.10       -15199.50           69.44       -15979.29            0.00            0.00           74.26
  147.50   -20.50         1938.83         1244.89       -11470.43         1234.30       -10846.41         1370.96       -11591.02         1307.64       -21733.32         1958.02
    3.50    43.50         2521.58         2871.94          684.35         2842.95          487.25         2979.56           11.11         2967.75        -1710.97         2843.09
   80.50    49.50          542.33          913.41        -4850.10          938.82        -5403.75          776.98        -4853.69            0.00            0.00          784.18
   84.50    27.50        12317.65        10953.67         4347.67        10727.98         3968.07        11563.60         4382.14        11256.60         -329.18        13724.05
   64.50    58.50          928.71         1617.73         -276.20         1566.80         -530.91            0.00            0.00            0.00            0.00         1352.18
 -104.50    25.50           99.53           28.08       -14524.78           37.25       -12933.02           36.70       -12579.97           27.52       -20728.06           36.98
  105.50    18.50        12554.38        12127.56         9035.84        12255.68         8914.88        12816.44         9471.55        12533.91         6177.70        14551.76
   30.50   -20.50         1087.13          401.91       -11740.46          498.56        -9257.25          521.64       -10687.95          376.23       -20327.06         1116.86
   28.50    47.50          723.04         1505.71        -1064.18         1500.93        -1459.55         1571.76        -1575.29         1088.83        -6045.74         1129.34
  -97.50    44.50         1723.73         2123.86         -461.63         2203.80         -487.11         2296.74         -914.70         1874.87        -4797.80         2137.93
   11.50     6.50         7200.18         8566.08         6636.56         8350.29         6208.13         9256.09         7277.09         8581.69         1539.78        10553.26
  -69.50   -37.50          131.72          408.59        -9147.40          469.68        -8383.75          444.51        -9626.28          138.07       -16103.01          402.72
 -111.50    58.50          439.68          776.48         -469.71          734.63         -655.13            0.00            0.00            0.00            0.00          631.48
 -102.50    42.50          347.46          746.93        -3632.44          835.05        -4073.43          763.51        -4360.68          478.27        -8737.53          564.12
  131.50    53.50         2335.69         2497.66         1802.00         2432.25         1688.25            0.00            0.00            0.00            0.00         2614.37
  161.50    55.50         4749.49            0.00            0.00         4720.37         4137.33            0.00            0.00            0.00            0.00         4865.23
 -106.50    31.50           15.76            0.00       -14925.89            0.00       -13622.25            0.00       -14525.24            0.00       -22688.20            1.84
 -108.50    26.50          855.44          382.22       -13427.50          402.11       -12253.67          499.10       -12631.62          418.73       -20322.16          868.24
  -76.50    47.50         4687.88         5607.26         4183.99         5458.95         3829.24            0.00            0.00            0.00            0.00         5375.25
   84.50    21.50        11037.03         9739.78         -428.97         9757.91           28.20        10124.39          -69.20         9997.41        -6423.72        12044.06
   35.50    -1.50         1817.65         1696.02        -6556.19         1619.65        -6657.53         1581.17        -4163.81         1578.09       -14599.16         1830.89
   33.50    60.50         2360.87         3070.49         1092.52         2999.83          897.18            0.00            0.00            0.00            0.00         2797.02
   28.50    45.50          614.33         1248.24        -2267.55         1296.99        -2605.33         1355.72        -2891.46         1137.16        -6899.50          994.92
  104.50    17.50        15114.37        13689.24        11316.00        13800.14        10701.24        14771.73        12108.18        14339.78         5694.88        16727.75
  -54.50    -9.50        12712.23        11308.07         9273.88        11236.67         9570.14        12050.86        10506.00        11861.29         5626.79        15262.03
   66.50    47.50          198.32          443.88        -5094.51          487.16        -5258.15          336.08        -6137.08            0.00            0.00          408.08
  118.50    29.50        11680.71        12041.90        11210.25        11869.21        11105.17        12180.64        10879.12        11813.92         7122.11        11880.00
   17.50   -20.50          624.36           81.36       -17049.97          233.41       -16796.21          247.26       -16307.05           99.83       -25619.40          522.79
   86.50    59.50         1486.91         2057.91          468.07         2019.29          273.12            0.00            0.00            0.00            0.00         1954.21
  -63.50    -3.50        13651.66        12457.86        11540.13        12572.88        10971.62        13377.75        12538.36        13176.17         8862.73        16582.40
   16.50    38.50         1899.41         2040.80          544.19         2020.41          518.41         2058.61           47.23         2043.16         -957.31         2096.90
   21.50    -4.50         3720.53         5265.73         2367.16         5141.98         2110.87         5245.46         1917.11         5250.38        -7143.63         6296.89
  -14.50    12.50         5992.82         3999.32        -3521.84         4194.19        -1821.19         4540.93        -2005.81         4071.80       -12212.44         6674.26
  -44.50   -21.50         6726.10         6396.14         3385.28         6141.59         3549.51         6707.25         4389.54         6464.98        -1639.13         8151.37
   17.50     7.50         3741.94         3251.79         -220.60         3187.35         -570.19         3734.91          229.56         3782.56        -8101.05         5049.93
   38.50    27.50           14.21            4.37       -18709.25            4.37       -17851.82            4.10       -19178.40            4.92       -29741.06           20.49
  -89.50    54.50         2338.08         2721.84         1566.95         2664.46         1364.80            0.00            0.00            0.00            0.00         2871.65
  146.50   -23.50          819.18          592.07       -13920.59          582.19       -13620.75          654.50       -13618.18          581.34       -22954.26          873.99
  111.50    22.50         8853.79         8589.42         7408.94         8374.84         7332.42         9108.20         7659.51         8773.54         3602.15         9146.62
   90.50    48.50            4.25           13.56        -3336.86           20.03        -2298.94            0.00            0.00            0.00            0.00            2.23
   30.50    66.50         1641.63            0.00            0.00         1847.63         1406.28            0.00            0.00            0.00            0.00         1933.53
  128.50    44.50         1245.25         1708.38          379.54         1771.88          324.70         1747.05          443.38         1814.71        -2213.87         1559.42
   25.50    35.50          720.29          761.75          -50.47          759.53         -128.71          778.90         -284.21          768.75         -751.28          784.97
 -116.50    55.50          806.33         1248.95         -203.23         1182.67         -785.58            0.00            0.00            0.00            0.00         1094.35
   76.50    53.50          404.91          832.37        -2658.85          831.82        -2978.95          831.82        -3156.46            0.00            0.00          710.16
 -112.50    58.50          512.17          971.13         -343.99          929.41         -563.93            0.00            0.00            0.00            0.00          894.48
  -53.50    -1.50         9767.23         8737.58         5298.35         9001.44         6073.71         9621.25         5679.14         9154.36          407.37        11140.94
  -75.50   -14.50           16.76           15.97       -12454.59           15.97       -13151.23           15.97       -12075.90           15.97       -21674.29           15.97
  113.50    50.50          177.12          592.88         -945.03          546.44        -1108.29            0.00            0.00            0.00            0.00          334.65
  113.50     2.50        31802.24        31640.06        31348.40        31080.30        30222.36        32310.30        32038.74        31711.15        28386.28        36432.99
  -87.50    20.50         3312.52         2759.73          690.44         3060.03          468.38         3109.37          970.02         2940.97        -2620.04         3884.12
  -83.50    35.50         6566.89         7694.60         6388.81         7736.05         5905.13         7823.42         5555.69         7411.62         1119.44         6896.04
  114.50    39.50          350.81          502.46        -4364.94          564.73        -3915.62          530.98        -3295.11          518.14        -6840.44          326.34
  -91.50    43.50         3115.31         3845.71         2294.70         3898.73         2207.54         3962.03         1838.00         3560.27        -1854.60         3650.07
  -83.50    12.50         8859.05         8722.31         8651.27         8783.45         8587.19         8889.89         8805.13         8835.39         8465.09         9279.98
   19.50    -5.50         4455.61         5236.85         2894.91         5132.29         2513.44         5221.21         2471.48         5211.70        -6062.88         6897.43
   30.50   -11.50         4575.45         3151.91        -1964.02         2959.47        -2156.76         3354.25        -1624.49         3833.55       -12164.12         7093.68
   48.50    48.50          171.65          472.09        -5460.82          524.34        -6031.16          382.90        -6825.95            0.00            0.00          439.23
   25.50    45.50         2079.31         3116.91         1884.89         3018.90         1337.59         3201.33         1680.30            0.00            0.00         2695.26
  125.50    50.50          544.09          955.74         -638.55          973.76         -641.15          990.61         -526.41            0.00            0.00          793.90
  126.50    44.50          896.37         1301.71        -1039.52         1359.06         -916.06         1377.95         -740.51         1177.15        -3827.05         1196.70
  123.50    48.50          588.02          897.04        -1000.22          935.82         -971.82          953.37         -761.19          899.08        -3327.30          824.79
 -102.50    41.50          250.77          618.04        -4057.46          715.39        -4382.39          662.80        -4700.15          333.58        -9366.28          412.03
  -38.50   -10.50          178.69           66.63       -11235.03           99.95        -9365.99           92.07        -9629.97           62.39       -22618.20          122.05
   21.50    66.50         2221.03         2434.49         1525.39         2394.94         1547.40            0.00            0.00            0.00            0.00         2522.05
   64.50    48.50           62.45          227.98        -8064.09          265.54        -8575.46          125.93        -8115.49            0.00            0.00          186.14
  -97.50    21.50         2743.12         2660.12         1187.56         2682.18         1419.49         2784.15         1258.82         2705.59           25.67         3065.33
  123.50   -33.50          292.97          280.81        -6398.47          282.28        -6242.77          347.03        -6954.60          323.98       -10681.05          340.75
