     Lon      Lat             PNV      C3cer_TeWW     C3cer_TeWWi     C3crps_TeSW    C3crps_TeSWi     C4crps_TeCo    C4crps_TeCoi       Rice_TrRi      Rice_TrRii             Pas
   87.50    46.50            3.96            3.96        -8310.42            3.96        -8670.10            3.96        -8378.17            3.96       -11893.63            3.96
  -66.50   -42.50           35.20           81.53        -9244.06          109.69        -6518.91          170.32        -9170.73           30.43       -12910.83           33.39
   39.50    -3.50         1102.31         1169.28        -8150.32          989.35        -8202.96         1056.61        -5549.81          542.64       -16573.74          783.59
   -4.50    56.50        10123.15        10293.70         9814.67        10134.01         9638.60        10600.23        10360.46            0.00            0.00        10288.10
   94.50    54.50         1578.89         2307.26         1701.53         2231.78         1568.42            0.00            0.00            0.00            0.00         2006.58
   25.50     0.50         6800.51         9928.17         5944.74         9766.48         5804.40         9003.38         7308.03         8485.38         1867.82        12068.48
   63.50    59.50          905.80         1577.41         -530.31         1507.22         -699.06            0.00            0.00            0.00            0.00         1232.07
 -114.50    32.50            0.00            0.00       -16381.12            0.00       -17211.16            0.00       -17069.72            0.00       -26859.22            0.00
  -57.50   -33.50         6000.30         6037.89         3217.25         5974.57         3338.37         6289.42         3055.38         5590.60        -3370.79         5906.71
   22.50    16.50          326.06          196.10       -21862.07          191.38       -21305.17          207.62       -20886.23            0.00            0.00          531.02
   25.50    53.50         1708.90         2687.11         1467.76         2636.54         1060.35         2760.03         1234.94            0.00            0.00         2397.62
  -92.50    16.50         5895.80         5585.21          784.17         5629.22         1413.63         5901.68         1443.97         5641.83        -4936.65         6700.57
  122.50    17.50         3948.16         3980.70         3900.89         4038.07         3874.59         4063.15         3949.84         4011.20         3557.72         4320.94
  -68.50     2.50        25777.16        26529.25        26279.89        25829.78        25534.86        27243.50        26908.86        26852.37        24385.02        32726.97
  -39.50    -8.50         1184.44          573.64        -9371.07          612.02        -7289.00          692.14        -7845.60          611.11       -18365.95         1122.91
  147.50   -24.50          866.66         1061.74        -9517.92         1171.90       -12098.05         1127.05       -10119.43          776.97       -22218.16          830.50
   72.50    22.50         5338.13         4571.86        -9305.57         4573.23        -8511.44         4794.98        -8324.49         4627.43       -15123.39         6116.17
  -90.50    42.50         3028.20         4362.41         2760.07         4384.11         2427.83         4378.52         1790.05         4194.60        -1954.30         3965.70
  -90.50    15.50        19308.88        20227.55        18678.76        19906.38        18338.10        20591.75        19400.03        20084.47        14185.31        23324.00
  136.50   -18.50         1223.93          831.04       -15057.37          804.75       -14721.11          959.28       -14356.26          874.86       -21666.20         1195.01
 -114.50    59.50          752.55         1249.86          119.36         1185.82         -437.68            0.00            0.00            0.00            0.00         1044.41
 -106.50    39.50         1467.43         3027.80         -276.39         2909.68        -1541.15            0.00            0.00            0.00            0.00         2606.39
   13.50    52.50         1126.47         1931.38            3.14         1891.35         -427.57         1975.66         -197.19            0.00            0.00         1687.31
   15.50    40.50         1788.40         2545.44        -3007.19         2561.81        -3351.99         2616.01        -4583.92         2254.75        -7891.43         2564.03
  -80.50    -4.50          880.27          359.77        -7896.95          353.94        -7435.81          426.02        -7580.55          372.04       -17258.46          909.71
  160.50    56.50         3968.54         4624.13         3803.53         4585.24         3687.63            0.00            0.00            0.00            0.00         4551.06
   48.50    30.50          465.17          393.69       -14834.59          393.18       -13776.40          407.73       -14688.19          396.75       -24519.56          550.45
  100.50    58.50          495.12         1094.32        -1074.98         1057.92        -1256.36            0.00            0.00            0.00            0.00          820.19
  105.50    53.50          162.33          444.49        -1529.33          662.34         -519.62            0.00            0.00            0.00            0.00          329.06
   76.50    19.50         7203.44         6155.66        -7948.65         6181.69        -7047.11         6524.39        -6415.08         6341.91       -11752.87         8136.11
  119.50   -29.50           57.91           43.43       -15773.35           42.89       -15207.75           47.99       -15572.64            0.00            0.00           53.08
  147.50   -20.50         2308.43         1545.16        -9819.01         1409.64        -9397.33         1564.07        -9898.16         1510.20       -20304.00         2385.21
    3.50    43.50         2301.56         2643.85          373.79         2636.67          149.31         2780.62         -401.98         2811.40        -2267.38         2626.06
   80.50    49.50          502.92          941.62        -4501.73          988.03        -5167.11          785.78        -4587.12            0.00            0.00          749.37
   84.50    27.50        14123.77        13640.02         6612.51        13268.57         6236.58        14330.44         6706.78        14060.69         1757.72        16388.91
   64.50    58.50         1202.93         1911.72          652.71         1836.86          461.16            0.00            0.00            0.00            0.00         1544.96
 -104.50    25.50          106.48           66.17       -14264.87           85.07       -12618.80           90.08       -12730.60           52.82       -21227.00           70.06
  105.50    18.50        14452.95        14594.22        11878.24        14672.81        11883.26        15209.30        12508.35        14966.70         8846.46        17036.35
   30.50   -20.50         1065.79          428.16       -11956.60          459.32        -9438.70          522.80       -10862.83          427.30       -21133.19         1092.04
   28.50    47.50          532.16         1460.43         -977.24         1506.54        -1259.43         1574.67        -1651.99         1116.66        -6751.38          960.67
  -97.50    44.50         1699.43         2609.47          208.42         2678.97          139.02         2696.66         -483.18         2369.22        -4261.29         2450.87
   11.50     6.50         7803.45         9587.44         6902.53         9443.07         6617.98        10054.14         8040.56         9236.58         2091.37        11482.47
  -69.50   -37.50          116.56          372.67        -8692.38          444.76        -7777.12          434.74        -9613.00          100.93       -16489.60          342.37
 -111.50    58.50          498.86          920.95         -234.31          862.18         -423.84            0.00            0.00            0.00            0.00          721.17
 -102.50    42.50          304.54          759.20        -2947.84          846.63        -3455.25          867.52        -4268.55          414.46        -8624.44          526.19
  131.50    53.50         2695.35         2771.57         2100.74         2687.47         1971.10            0.00            0.00            0.00            0.00         2916.50
  161.50    55.50         5042.41            0.00            0.00         5052.60         4108.10            0.00            0.00            0.00            0.00         5199.35
 -106.50    31.50           27.31           13.13       -14835.79           12.61       -13472.64           15.76       -14537.98           12.61       -24139.06           18.12
 -108.50    26.50          846.17          349.80       -14025.30          355.25       -12320.88          465.86       -12727.80          412.19       -20972.74          865.25
  -76.50    47.50         4688.08         5651.57         4359.23         5572.20         3949.64            0.00            0.00            0.00            0.00         5384.90
   84.50    21.50        11799.46        10744.82          690.95        10696.35         1385.32        11242.52         1282.23        11099.96        -5086.65        13171.54
   35.50    -1.50         4313.95         4122.12        -2784.01         3957.99        -2453.37         4022.04         -413.64         4034.36       -11029.08         4872.21
   33.50    60.50         2535.41         3382.01         1498.54         3292.56         1176.07            0.00            0.00            0.00            0.00         3001.94
   28.50    45.50          556.99         1112.59        -2437.41         1203.89        -2607.99         1254.43        -3207.70         1037.67        -7882.54          823.90
  104.50    17.50        16050.35        15684.95        13456.62        15765.21        13031.40        16647.20        14137.77        16141.70         8138.05        18901.50
  -54.50    -9.50        13975.13        12848.34        11166.39        12606.81        11555.53        13407.63        12153.39        12821.30         6798.40        17001.29
   66.50    47.50          116.74          363.13        -4753.11          396.64        -4961.41          231.41        -6114.27            0.00            0.00          302.99
  118.50    29.50        10818.28        11277.67        10193.06        11144.72        10260.63        11393.76        10133.37        11210.80         6294.22        11033.10
   17.50   -20.50          782.75           85.98       -17504.81          148.88       -16791.56          182.63       -16069.99          115.41       -25262.81          735.14
   86.50    59.50         1844.74         2366.23          705.69         2324.50          502.52            0.00            0.00            0.00            0.00         2252.09
  -63.50    -3.50        12341.09        13039.36        11261.97        13080.61        10768.92        13364.68        12720.89        13036.75         9486.09        18893.01
   16.50    38.50         1528.13         1674.13          117.72         1652.68           87.10         1668.66         -378.61         1669.62        -1553.07         1726.69
   21.50    -4.50         3800.98         6472.54         3497.14         6389.01         3369.25         6425.86         3510.77         6069.66        -5699.37         9897.66
  -14.50    12.50         5197.41         3601.76        -4067.19         3779.80        -2248.48         4247.42        -2694.33         3949.10       -13729.39         6479.69
  -44.50   -21.50         8487.90         8479.33         6072.26         8178.51         6602.49         8800.72         7180.45         8246.50          907.06        10771.93
   17.50     7.50         4386.01         4247.06          521.87         4343.56          267.60         4914.33         1148.75         4349.97        -6902.34         6577.79
   38.50    27.50            3.00            0.00       -18393.55            0.00       -17536.73            0.00       -18372.46            0.00       -29867.62            6.01
  -89.50    54.50         1949.22         2652.71         1175.76         2588.52          964.72            0.00            0.00            0.00            0.00         2724.72
  146.50   -23.50          761.84          420.05       -14837.68          407.90       -14406.70          466.65       -13908.01          435.02       -23867.77          867.77
  111.50    22.50        13839.32        12481.31        11444.01        12274.99        11475.12        13025.70        11847.10        12605.38         8097.65        14404.77
   90.50    48.50            2.23           41.28        -3187.03           48.56        -2152.31            0.00            0.00            0.00            0.00            2.23
   30.50    66.50         1678.77            0.00            0.00         1838.54         1228.49            0.00            0.00            0.00            0.00         1895.13
  128.50    44.50         1473.96         2083.18          830.18         2122.07          954.77         2146.02         1203.46         1842.39        -1597.02         1799.78
   25.50    35.50          610.94          640.96         -153.97          639.32         -255.99          656.68         -364.84          645.11         -922.22          662.18
 -116.50    55.50          597.57         1279.87          -32.10         1180.28         -951.17            0.00            0.00            0.00            0.00          968.45
   76.50    53.50          428.55         1013.39        -1894.47         1025.48        -2135.09         1021.45        -2554.39            0.00            0.00          821.19
 -112.50    58.50          629.99         1092.06         -156.16         1046.15         -378.17            0.00            0.00            0.00            0.00          959.21
  -53.50    -1.50         9352.19         8385.10         4873.91         8582.64         5881.70         9057.92         5431.57         8625.21         -552.28        11423.34
  -75.50   -14.50           18.06           16.49       -12249.32           16.49       -13138.99           16.49       -11919.61           16.49       -21845.07           16.49
  113.50    50.50          169.28          748.64         -846.44          691.43         -959.03            0.00            0.00            0.00            0.00          321.71
  113.50     2.50        34476.74        35449.48        35187.81        34842.01        34364.03        35856.91        35602.53        35116.51        32819.05        40664.61
  -87.50    20.50         3409.89         3062.24         1179.26         3307.65         1059.23         3379.79         1341.68         3202.10        -2336.41         4335.33
  -83.50    35.50         6498.13         7592.08         6235.88         7651.65         5980.97         7756.40         5353.92         7704.52          898.26         7098.60
  114.50    39.50          442.56          822.37        -3864.65          806.45        -3278.20          832.83        -2524.72          561.40        -6743.93          447.79
  -91.50    43.50         2779.84         3914.34         2471.97         3962.24         2350.21         3954.33         1776.06         3780.49        -1642.78         3583.57
  -83.50    12.50         9233.94         9229.86         9199.20         9271.62         9130.06         9360.93         9300.41         9290.15         8984.51         9963.46
   19.50    -5.50         4127.55         6736.77         4496.73         6638.04         4276.40         6793.18         4466.64         6447.33        -4258.69        10592.04
   30.50   -11.50         5324.23         4106.03        -1467.93         4053.88        -1536.45         4582.05         -517.96         4002.32       -11247.69         7930.30
   48.50    48.50          168.18          534.14        -4704.31          578.84        -5223.16          427.19        -6376.75            0.00            0.00          438.00
   25.50    45.50         1630.89         2782.70         1231.67         2747.94          740.15         2925.20          861.84            0.00            0.00         2207.12
  125.50    50.50          745.70         1293.12         -165.91         1326.63          -49.88         1329.18           47.79            0.00            0.00         1020.59
  126.50    44.50         1343.46         1921.27         -300.19         1923.90         -123.18         1923.46          116.01         1658.95        -2936.46         1621.60
  123.50    48.50          852.34         1300.35         -712.66         1355.04         -507.86         1355.04         -297.38         1095.01        -3341.97         1052.16
 -102.50    41.50          265.07          646.18        -3369.65          732.23        -3716.49          758.76        -4590.47          277.07        -8976.71          376.96
  -38.50   -10.50          514.88          140.83        -9878.64          291.66        -7687.75          280.46        -8134.42          124.48       -21164.21          420.38
   21.50    66.50         2212.93         2516.12         1475.50         2454.08         1510.98            0.00            0.00            0.00            0.00         2580.82
   64.50    48.50           48.58          239.42        -7851.47          276.36        -8532.39          116.75        -8099.90            0.00            0.00          174.51
  -97.50    21.50         2798.95         2766.12         1134.96         2778.64         1499.70         2862.99         1258.45         2782.13         -168.28         3078.65
  123.50   -33.50          231.35          220.67        -6734.91          220.25        -6587.95          252.10        -7048.16          238.69       -11436.98          255.66
   39.50    51.50         1308.73         2321.90          423.69         2342.73          154.99         2392.59          -57.29            0.00            0.00         2032.45
  -67.50    46.50         6626.72         7425.64         6841.19         7097.95         5679.31         7374.69         6159.24            0.00            0.00         7228.39
   44.50    50.50          927.52         1889.92         -896.77         1955.95        -1024.89         1962.81        -1631.08         1564.09        -6132.83         1683.41
   28.50    58.50         2220.25         3095.17         2215.86         3067.61         2089.63         3124.63         2120.14            0.00            0.00         2763.99
