Lon	Lat	PNV	C3cer_TeWW	C3cer_TeWWi	C3crps_TeSW	C3crps_TeSWi	C4crps_TeCo	C4crps_TeCoi	Rice_TrRi	Rice_TrRii	Pas	ID
87.5	46.5	0	3077086	22643002	9114702	45534657	5030347	23719306	2835538	24782464	0	1
-66.5	-42.5	0	3100888	25756014	7481105	21409686	5539894	26642942	3720261	18849810	0	2
39.5	-3.5	0	6537708.9314	25388420.4222	19841850.3051	61040851.2633	10788996.4442	12556160.0739	23217567.3431	15012492.4694	0	3
-4.5	56.5	0	14911929	15974435	46369466	45675460	3756154	4069167	0	0	0	4
94.5	54.5	0	6492935	6459570	16916331	16789542	0	0	0	0	0	5
25.5	0.5	0	7272244	34252836	18423020	86263478	6271988	36751651	11866405	34188863	0	6
63.5	59.5	0	6018978	23131072	15689002	52940177	0	0	0	0	0	7
-114.5	32.5	0	1160379.4326	13575490.0044	2707551.036	35443442.7468	1933462.4732	35579791.7518	699912.5626	33115625.7582	0	8
-57.5	-33.5	0	11746034	16357858	23699130	35689873	8083156	17064441	14379567	27744201	0	9
22.5	16.5	0	2930845	12891308	6621946	31952816	7694424	44780593	0	0	0	10
25.5	53.5	0	9993305	10628994	25290854	27710574	9457831	9954442	0	0	0	11
-92.5	16.5	0	24230108	23278472	29793516	32983064	21727209	24040544	22201970	28607251	0	12
122.5	17.5	0	6077008.699	6464357.2652	3080830.6248	13493062.704	2506275.0392	7157209.291	2748507.961	3102582.636	0	13
-68.5	2.5	0	26685814.7717	26861866.6876	62025986.8956	63415872.821	28203922.2528	28555591.8648	26138839.0662	27249939.738	0	14
-39.5	-8.5	0	26230903	34027436	23400966	28162988	18929876	22713386	14314654	19756184	0	15
147.5	-24.5	0	8564085	11878878	13091862	43792906	13527472	21056593	21686133	36317958	0	16
72.5	22.5	0	14507328.8969	17325372.4966	27895578.2917	38720120.292	16569788.8104	26917632.2142	17544107.0917	31410885.9148	0	17
-90.5	42.5	0	13371056.7606	14539563.8982	25840695.672	28511568.558	20572249.5693	22418593.9164	22817919.9798	23840369.7246	0	18
-90.5	15.5	0	20388041.55	29979160.83	31826585.556	71474302.152	20524817.637	20128955.895	16853551.578	17798343.84	0	19
136.5	-18.5	0	14482907	18536813	33324853	48995598	22617876	44278568	18482676	37867862	0	20
-114.5	59.5	0	194457.419500001	207293.624300001	543512.401400001	977691.772800002	0	0	0	0	0	21
-106.5	39.5	0	6868317.0612	8883805.8912	24838129.836	37876843.5972	0	0	0	0	0	22
13.5	52.5	0	19966370	23799968	44351356	55569965	17053624	19120957	0	0	0	23
15.5	40.5	0	5034504	17810588	10844816	49990145	9943058	28862613	8928426	21409712	0	24
-80.5	-4.5	0	13921876.6376	15502432.2437	26230720.8944	29229445.3948	17573478.2572	19674783.387	17763065.344	26168301.0008	0	25
160.5	56.5	0	10790606	11921170	27303123	29834331	0	0	0	0	0	26
48.5	30.5	0	3600361	9715261	8334170	25012035	5298474	38173800	3755096	26943021	0	27
100.5	58.5	0	5176847	20701609	13462112	49815593	0	0	0	0	0	28
105.5	53.5	0	18421311	22392659	11982397	11934549	0	0	0	0	0	29
76.5	19.5	0	20898682	22495484	35863305	48497459	18157670	30056092	20402360	32800144	0	30
119.5	-29.5	0	5993844.804	15792719.9796	14111857.7298	39481799.949	6890144.8608	34701094.98	0	0	0	31
147.5	-20.5	0	10603338	13671038	21121165	27555852	14442024	20701008	23753486	38719289	0	32
3.5	43.5	0	6111621	12881246	14052268	38214362	8362713	19017160	4165953	7956681	0	33
80.5	49.5	0	3768860	27105938	7619814	62570534	10180716	23776586	0	0	0	34
84.5	27.5	0	13994810.3749	15390641.7832	37577980.7316	40761936.1942	17114604.3797	22694162.8452	19833198.172	27168333.2262	0	35
64.5	58.5	0	6209041	6730457	16008059	16823146	0	0	0	0	0	36
-104.5	25.5	0	19914236	18856292	31167854	34642473	17781706	26599452	21662460	34967739	0	37
105.5	18.5	0	21711800	28886216	26321904	69660655	19280695	25935909	17868270	29156918	0	38
30.5	-20.5	0	16436178	18481282	15822647	20741660	15021713	19888888	27531956	22703418	0	39
28.5	47.5	0	8934707	9926592	18179378	20201892	8999525	10041487	18022767	14473031	0	40
-97.5	44.5	0	12151982	14219728	19802641	22633862	15290146	18377496	19045562	21522308	0	41
11.5	6.5	0	8838371.6064	31419129.105	23762178.846	77494574.5938	12255080.1156	34481008.3716	14489816.8212	33825597.1956	0	42
-69.5	-37.5	0	1187607.9424	9890692.2048	3508431.1416	16662779.9448	4807175.2168	11403522.6448	3480266.7504	19473852.288	0	43
-111.5	58.5	0	2681916.8904	3036040.4151	7496696.691	8338145.8644	0	0	0	0	0	44
-102.5	42.5	0	10742969	13801496	20596338	28102861	15315098	23684656	15509615	21407946	0	45
131.5	53.5	0	18961305	19467122	49713617	50506520	0	0	0	0	0	46
161.5	55.5	0	0	0	23444964.7072	27895098.0804	0	0	0	0	0	47
-106.5	31.5	0	6594093	14893047	15598507	34841891	11920980	31959274	9154170	32982062	0	48
-108.5	26.5	0	18020063	16688632	28112518	37229268	19705806	32391142	23524414	34826303	0	49
-76.5	47.5	0	9647530	10103087	26334156	27259966	0	0	0	0	0	50
84.5	21.5	0	14930290	16748994	27439166	33265362	17393951	24067174	22193522	31899196	0	51
35.5	-1.5	0	6477113.8272	24109760.9388	17478214.152	56032029.6144	7762423.2096	7959439.1676	10046865.6888	11285090.8392	0	52
33.5	60.5	0	5758228.845	19636899.09	15271358.205	48738719.14	0	0	0	0	0	53
28.5	45.5	0	7960057	11030790	15517639	20988315	8211410	11969585	8975960	14820622	0	54
104.5	17.5	0	21808156.23	23420769.148	27641702.676	57956662.988	20725914.874	33811642.578	26180170.8	27730066.294	0	55
