"Lon" "Lat" "ATbiome"
31.5 3.5 1
116.5 -34.5 2
48.5 37.5 4
-104.5 37.5 3
-76.5 -0.5 1
129.5 37.5 2
138.5 -5.5 1
99.5 19.5 1
-82.5 39.5 2
40.5 52.5 4
126.5 -8.5 4
43.5 7.5 6
-57.5 0.5 1
134.5 44.5 3
14.5 7.5 1
143.5 -37.5 4
100.5 0.5 1
139.5 -21.5 6
58.5 27.5 6
-110.5 29.5 5
30.5 -30.5 2
38.5 48.5 5
71.5 53.5 3
0.5 53.5 4
-6.5 37.5 4
73.5 51.5 3
-73.5 -41.5 2
42.5 38.5 4
-155.5 59.5 3
47.5 60.5 3
5.5 50.5 2
-62.5 7.5 1
74.5 29.5 5
27.5 38.5 4
-66.5 -2.5 1
-54.5 -32.5 2
-74.5 43.5 2
114.5 29.5 5
-50.5 -27.5 2
68.5 46.5 6
-74.5 -8.5 1
108.5 24.5 5
-83.5 14.5 1
45.5 53.5 3
97.5 22.5 5
117.5 36.5 2
-55.5 -25.5 5
-6.5 5.5 1
53.5 56.5 3
99.5 13.5 1
-114.5 55.5 3
-12.5 15.5 6
-94.5 35.5 2
73.5 31.5 4
15.5 9.5 4
72.5 42.5 3
68.5 60.5 3
-40.5 -14.5 4
17.5 43.5 2
15.5 12.5 4
19.5 4.5 1
-98.5 28.5 4
15.5 -19.5 5
37.5 17.5 6
15.5 51.5 2
16.5 -5.5 1
-2.5 40.5 4
-61.5 -1.5 1
105.5 -4.5 1
-96.5 45.5 3
-100.5 28.5 4
-62.5 -40.5 4
46.5 32.5 6
-73.5 4.5 1
-55.5 51.5 3
5.5 45.5 2
78.5 58.5 3
-43.5 -3.5 1
81.5 16.5 4
-81.5 32.5 2
107.5 26.5 2
106.5 28.5 2
66.5 39.5 4
-6.5 17.5 6
103.5 52.5 3
16.5 -6.5 1
171.5 -42.5 2
36.5 56.5 2
136.5 45.5 3
61.5 27.5 6
117.5 47.5 6
23.5 -12.5 4
105.5 9.5 1
77.5 11.5 4
40.5 55.5 2
17.5 64.5 3
81.5 20.5 4
5.5 49.5 2
-68.5 5.5 1
116.5 -29.5 5
131.5 -24.5 6
3.5 44.5 2
115.5 53.5 3
35.5 38.5 3
-69.5 -11.5 1
115.5 -1.5 1
8.5 44.5 2
45.5 3.5 6
41.5 12.5 6
-50.5 -28.5 2
42.5 48.5 4
120.5 -3.5 1
43.5 44.5 4
-76.5 38.5 2
86.5 53.5 3
-49.5 -23.5 1
18.5 43.5 2
107.5 22.5 5
115.5 -26.5 6
-85.5 34.5 2
21.5 17.5 6
17.5 -13.5 4
116.5 39.5 4
34.5 -15.5 4
7.5 8.5 4
-66.5 10.5 1
-59.5 -5.5 1
58.5 59.5 3
35.5 14.5 4
138.5 -7.5 1
115.5 38.5 4
33.5 -18.5 1
30.5 -21.5 6
140.5 42.5 2
-8.5 54.5 2
86.5 54.5 3
-153.5 57.5 3
-13.5 15.5 6
-2.5 15.5 6
29.5 53.5 2
65.5 40.5 6
78.5 20.5 4
15.5 41.5 4
-57.5 -13.5 1
-104.5 35.5 4
48.5 56.5 3
87.5 49.5 6
-105.5 39.5 3
53.5 27.5 6
-106.5 43.5 3
-113.5 48.5 3
-62.5 -4.5 1
7.5 49.5 2
142.5 -17.5 4
76.5 28.5 5
104.5 50.5 3
46.5 48.5 4
34.5 -22.5 4
27.5 56.5 2
22.5 46.5 2
-62.5 -26.5 4
78.5 60.5 3
47.5 49.5 4
67.5 36.5 5
-105.5 57.5 3
45.5 62.5 3
150.5 -22.5 4
-113.5 41.5 4
153.5 -28.5 2
83.5 29.5 6
116.5 -31.5 4
27.5 10.5 6
-106.5 33.5 6
-98.5 48.5 3
-92.5 49.5 3
21.5 -8.5 1
131.5 33.5 2
11.5 3.5 1
2.5 45.5 2
5.5 16.5 6
112.5 -1.5 1
134.5 34.5 2
-109.5 32.5 6
11.5 9.5 6
64.5 44.5 5
104.5 23.5 2
-57.5 -15.5 1
79.5 51.5 3
-94.5 36.5 2
-66.5 46.5 3
-67.5 -17.5 6
-108.5 44.5 6
14.5 58.5 2
24.5 -16.5 4
-87.5 35.5 2
24.5 -20.5 6
-53.5 -30.5 2
-71.5 -10.5 1
-11.5 13.5 6
39.5 59.5 3
117.5 -0.5 1
38.5 61.5 3
-51.5 -19.5 1
24.5 -28.5 6
45.5 -21.5 4
88.5 56.5 3
142.5 47.5 3
49.5 23.5 6
147.5 -23.5 6
138.5 -3.5 1
2.5 33.5 6
-125.5 56.5 3
125.5 12.5 1
45.5 30.5 6
20.5 -32.5 6
4.5 12.5 6
36.5 41.5 2
-69.5 -10.5 1
-73.5 -8.5 1
142.5 53.5 3
38.5 49.5 5
-87.5 13.5 4
-101.5 40.5 4
131.5 -15.5 4
112.5 -7.5 1
38.5 -8.5 4
-113.5 55.5 3
-70.5 -47.5 4
-120.5 59.5 3
-55.5 -7.5 1
-49.5 -7.5 1
21.5 53.5 2
104.5 54.5 3
-84.5 45.5 2
24.5 17.5 6
73.5 62.5 3
26.5 -19.5 6
-64.5 -3.5 1
-103.5 51.5 3
-74.5 -5.5 1
28.5 -24.5 4
-73.5 11.5 4
-124.5 53.5 3
-105.5 31.5 6
-5.5 35.5 4
-71.5 -8.5 1
-51.5 -23.5 2
29.5 14.5 6
79.5 60.5 3
-115.5 42.5 3
-0.5 40.5 4
75.5 30.5 4
-91.5 42.5 4
33.5 13.5 6
79.5 45.5 3
14.5 51.5 2
89.5 57.5 3
-61.5 51.5 3
77.5 26.5 6
-122.5 43.5 2
-84.5 12.5 1
-77.5 40.5 2
14.5 -14.5 4
72.5 57.5 3
124.5 -16.5 6
-56.5 -1.5 1
100.5 8.5 1
