"Lon" "Lat" "newFPU"
5.64285714285714 46.0714285714286 2096
43.8333333333333 41.3333333333333 2097
47.5 -20 2098
6 52.5 2099
7 48.5 2100
8.5 47.5 2101
77.5 43.5 2102
92.5 25.5 2103
97.5 26.5 2104
98.5 24.5 2105
-104.833333333333 37.3333333333333 3001
-104.62 47.7 3002
-96.0384615384615 47.1153846153846 3003
-103.910256410256 51.8675213675214 3004
-77.6916167664671 50.6916167664671 3005
-115.224550898204 57.6137724550898 3006
-106.25 36.25 3007
-108.413043478261 40.1521739130435 3008
-116.338709677419 43.7258064516129 3009
-115.366666666667 39.7666666666667 3010
-119 50 3011
-120.666666666667 42.5 3012
-154.770833333333 62.0208333333333 3013
105.166666666667 54.2333333333333 3014
-4.66666666666667 57.1666666666667 3015
-66.5 -24.5 3016
-66.5 -26.5 3017
142 53.5 3018
-68.5 -16.5 3019
-69.7857142857143 -52.9285714285714 3020
-69 46.5 3021
-71.7222222222222 -49.7222222222222 3022
-71.5 -14.5 3023
-73.5 -14.5 3024
-89.7352941176471 49.6764705882353 3025
-93.8333333333333 46.6666666666667 3026
-92.1666666666667 47.8333333333333 3027
11 47.5 3028
9.34848484848485 61.7121212121212 3029
100.5 29.5 3030
101.875 35.875 3031
103.2 49.5 3032
94.2425742574257 58.2128712871287 3033
110.5 48.5 3034
103 37.5 3035
109.2 51.3 3036
129.684397163121 50.8049645390071 3037
116.3 41.5 3038
124.416666666667 46.25 3039
130.75 46.125 3040
17.3048780487805 63.5731707317073 3041
129.166666666667 41.8333333333333 3042
144.5 43.5 3043
168.5 -45.5 3044
26.9444444444444 64.2777777777778 3045
44.5833333333333 63.1217948717949 3046
36.25 39.25 3047
49.6298701298701 56.6298701298701 3048
44.5 52.5 3049
46.5 35.5 3050
47.6818181818182 36.5 3051
49.5 50.5 3052
59.578431372549 49.7352941176471 3053
58.0333333333333 52.1666666666667 3054
58.5 37.5 3055
75.3453608247423 57.3419243986254 3056
80.7121212121212 50.1363636363636 3057
64.6666666666667 34.6666666666667 3058
67.1666666666667 47.8333333333333 3059
69.5 34 3060
72.9102564102564 49.525641025641 3061
70.5 40.5 3062
76.1666666666667 42.1666666666667 3063
74.8333333333333 41.8333333333333 3064
79.5 31.5 3065
81 45.625 3066
81.5 44 3067
87 48.5 3068
91.5 28.5 3069
-1.1 10.3 4001
-3.83333333333333 11.6666666666667 4002
-4.5 39.1857142857143 4003
0 41.1666666666667 4004
-102.5 22.2272727272727 4005
-100.2 27 4006
-99.2 28.7 4007
-98.625 32 4008
-97.90625 36.21875 4009
-101.367647058824 43.6029411764706 4010
-108.5 28.6666666666667 4011
-110.75 34.75 4012
-11.5 11.5 4013
-113 41.5 4014
-113.5 50.5 4015
-121.944444444444 38.8333333333333 4016
-119.5 46.5 4017
-12.5 12.5 4018
-14.5 12.9 4019
-16.5 13.5 4020
-5 34.5 4021
-41.7558139534884 -6.2906976744186 4022
-42.877358490566 -13.2547169811321 4023
-97.5 24 4024
-6.21428571428571 12.0714285714286 4025
-47.6538461538462 -12.8846153846154 4026
-53 -19.5 4027
-5.5 10.5 4028
-61.1666666666667 -22.1666666666667 4029
-57.5 -33.5 4030
-62.3484848484849 -25.7727272727273 4031
-6.5 10.5 4032
-64.5 -32.4032258064516 4033
-62.75 -20.25 4034
-68.6 -36.9 4035
-65.9166666666667 9.08333333333333 4036
-68.5322580645161 -45.5967741935484 4037
-65.5 18.5 4038
-71.5 -35 4039
-71.5 18.5 4040
-75.5 8.5 4041
-74.5 20.5 4042
-76.5 21.5 4043
-9 11.5 4044
-80.5 -1.5 4045
-81.5 43.5 4046
-84.5 41.5 4047
-86.5 39.8 4048
-86.6666666666667 12.8333333333333 4049
-95 16.5 4050
-90.9761904761905 41.4523809523809 4051
-94 44.5 4052
0.5 53.5 4053
1.5 11 4054
4.5 36.5 4055
1.5 6.5 4056
9.5 8.66666666666667 4057
10 36.5 4058
103.5 23.5 4059
107.7 36.5 4060
110.558823529412 36.9117647058824 4061
15.5 41.5 4062
110.5 21.5 4063
115.5 38.7666666666667 4064
115.5 34.3571428571429 4065
120.055555555556 -33.2777777777778 4066
118 -8.5 4067
119.75 42.75 4068
122.5 37.5 4069
130.71875 -14.21875 4070
16.4583333333333 -15.0416666666667 4071
13.5 11 4072
14.25 9.5 4073
15.5 10.5 4074
147.54 -33.9 4075
141 -37 4076
152 -25.5 4077
18.5 10.625 4078
15.5 9.5 4079
17.5 -19.5 4080
19.6666666666667 12.6666666666667 4081
18.5 52.25 4082
176.5 -40.5 4083
20.8333333333333 -14.8333333333333 4084
18.5 -19.5 4085
27 -32.6666666666667 4086
26.5 44.375 4087
22.8333333333333 39.6111111111111 4088
3 11 4089
22 -21.5 4090
21.5 32.5 4091
22.1666666666667 9.83333333333333 4092
27.5212765957447 -14.1595744680851 4093
31.4772727272727 9.06818181818182 4094
30.1666666666667 10.3333333333333 4095
23.5 10 4096
24 55.5 4097
25.8333333333333 50 4098
26.5 -22.5 4099
