"LON" "LAT" "FPU_code" "LONLAT"
-52.5 -6.5 8 "-52.5/-6.5"
-108.5 50.5 190 "-108.5/50.5"
-88.5 36.5 178 "-88.5/36.5"
17.5 -11.5 41 "17.5/-11.5"
14.5 15.5 121 "14.5/15.5"
48.5 28.5 20004 "48.5/28.5"
-106.5 59.5 50 "-106.5/59.5"
108.5 40.5 1011 "108.5/40.5"
31.5 -10.5 286 "31.5/-10.5"
-51.5 -24.5 186 "-51.5/-24.5"
108.5 13.5 202 "108.5/13.5"
-77.5 36.5 228 "-77.5/36.5"
-105.5 53.5 190 "-105.5/53.5"
33.5 63.5 163 "33.5/63.5"
44.5 14.5 20001 "44.5/14.5"
64.5 51.5 248 "64.5/51.5"
15.5 15.5 121 "15.5/15.5"
142.5 -23.5 49 "142.5/-23.5"
-76.5 42.5 244 "-76.5/42.5"
-103.5 41.5 141 "-103.5/41.5"
-2.5 34.5 168 "-2.5/34.5"
35.5 -4.5 74 "35.5/-4.5"
20.5 -11.5 57 "20.5/-11.5"
83.5 19.5 76 "83.5/19.5"
21.5 32.5 161 "21.5/32.5"
45.5 64.5 163 "45.5/64.5"
151.5 -32.5 771 "151.5/-32.5"
-53.5 -32.5 252 "-53.5/-32.5"
-51.5 -11.5 243 "-51.5/-11.5"
-93.5 50.5 190 "-93.5/50.5"
-105.5 40.5 141 "-105.5/40.5"
16.5 -21.5 114 "16.5/-21.5"
24.5 -12.5 286 "24.5/-12.5"
5.5 33.5 159 "5.5/33.5"
26.5 -14.5 286 "26.5/-14.5"
-5.5 42.5 103 "-5.5/42.5"
84.5 56.5 174 "84.5/56.5"
-61.5 -11.5 8 "-61.5/-11.5"
-49.5 -1.5 8 "-49.5/-1.5"
-6.5 12.5 150 "-6.5/12.5"
75.5 16.5 116 "75.5/16.5"
-156.5 61.5 7 "-156.5/61.5"
104.5 1.5 234 "104.5/1.5"
125.5 7.5 189 "125.5/7.5"
19.5 -31.5 222 "19.5/-31.5"
86.5 26.5 892 "86.5/26.5"
30.5 39.5 84 "30.5/39.5"
77.5 61.5 274 "77.5/61.5"
-59.5 -29.5 185 "-59.5/-29.5"
117.5 27.5 2881 "117.5/27.5"
106.5 16.5 137 "106.5/16.5"
-63.5 10.5 183 "-63.5/10.5"
-109.5 37.5 54 "-109.5/37.5"
38.5 6.5 96 "38.5/6.5"
129.5 -18.5 49 "129.5/-18.5"
-62.5 -0.5 8 "-62.5/-0.5"
-105.5 33.5 200 "-105.5/33.5"
37.5 57.5 254 "37.5/57.5"
85.5 23.5 53 "85.5/23.5"
116.5 44.5 131 "116.5/44.5"
38.5 24.5 20000 "38.5/24.5"
25.5 7.5 58 "25.5/7.5"
-43.5 -19.5 214 "-43.5/-19.5"
-102.5 20.5 139 "-102.5/20.5"
4.5 7.5 1522 "4.5/7.5"
31.5 57.5 254 "31.5/57.5"
-101.5 56.5 38 "-101.5/56.5"
35.5 63.5 163 "35.5/63.5"
14.5 11.5 119 "14.5/11.5"
-65.5 -35.5 213 "-65.5/-35.5"
-4.5 32.5 209 "-4.5/32.5"
-71.5 -46.5 52 "-71.5/-46.5"
20.5 54.5 177 "20.5/54.5"
-77.5 52.5 38 "-77.5/52.5"
-64.5 46.5 38 "-64.5/46.5"
9.5 41.5 111 "9.5/41.5"
-72.5 4.5 182 "-72.5/4.5"
-104.5 26.5 139 "-104.5/26.5"
46.5 65.5 163 "46.5/65.5"
-59.5 -37.5 213 "-59.5/-37.5"
42.5 50.5 26 "42.5/50.5"
-59.5 53.5 38 "-59.5/53.5"
-58.5 5.5 165 "-58.5/5.5"
36.5 50.5 28 "36.5/50.5"
105.5 36.5 1011 "105.5/36.5"
29.5 12.5 211 "29.5/12.5"
33.5 -4.5 74 "33.5/-4.5"
42.5 44.5 26 "42.5/44.5"
26.5 1.5 60 "26.5/1.5"
13.5 3.5 42 "13.5/3.5"
-97.5 19.5 278 "-97.5/19.5"
12.5 53.5 175 "12.5/53.5"
-70.5 3.5 182 "-70.5/3.5"
-128.5 60.5 50 "-128.5/60.5"
100.5 6.5 234 "100.5/6.5"
86.5 57.5 174 "86.5/57.5"
42.5 56.5 254 "42.5/56.5"
16.5 31.5 161 "16.5/31.5"
80.5 28.5 90 "80.5/28.5"
46.5 -17.5 134 "46.5/-17.5"
-79.5 36.5 228 "-79.5/36.5"
-108.5 54.5 50 "-108.5/54.5"
-74.5 -46.5 52 "-74.5/-46.5"
-51.5 -8.5 8 "-51.5/-8.5"
145.5 -18.5 772 "145.5/-18.5"
13.5 -8.5 41 "13.5/-8.5"
-104.5 43.5 141 "-104.5/43.5"
110.5 20.5 2880 "110.5/20.5"
160.5 55.5 1 "160.5/55.5"
153.5 -27.5 772 "153.5/-27.5"
121.5 43.5 221 "121.5/43.5"
30.5 46.5 70 "30.5/46.5"
147.5 -26.5 142 "147.5/-26.5"
-153.5 61.5 7 "-153.5/61.5"
133.5 -20.5 49 "133.5/-20.5"
-72.5 42.5 244 "-72.5/42.5"
86.5 45.5 275 "86.5/45.5"
-80.5 44.5 93 "-80.5/44.5"
102.5 35.5 1011 "102.5/35.5"
67.5 58.5 174 "67.5/58.5"
15.5 -13.5 41 "15.5/-13.5"
-99.5 33.5 273 "-99.5/33.5"
5.5 44.5 197 "5.5/44.5"
80.5 58.5 174 "80.5/58.5"
108.5 -6.5 1060 "108.5/-6.5"
-94.5 55.5 38 "-94.5/55.5"
118.5 46.5 221 "118.5/46.5"
72.5 46.5 117 "72.5/46.5"
-58.5 48.5 38 "-58.5/48.5"
97.5 5.5 1061 "97.5/5.5"
-66.5 6.5 183 "-66.5/6.5"
21.5 -29.5 181 "21.5/-29.5"
-84.5 32.5 228 "-84.5/32.5"
92.5 53.5 174 "92.5/53.5"
27.5 48.5 64 "27.5/48.5"
-103.5 52.5 190 "-103.5/52.5"
-128.5 59.5 50 "-128.5/59.5"
97.5 20.5 235 "97.5/20.5"
21.5 49.5 176 "21.5/49.5"
49.5 33.5 269 "49.5/33.5"
45.5 2.5 98 "45.5/2.5"
116.5 23.5 2881 "116.5/23.5"
-82.5 35.5 228 "-82.5/35.5"
12.5 -5.5 41 "12.5/-5.5"
102.5 51.5 1 "102.5/51.5"
-71.5 49.5 38 "-71.5/49.5"
118.5 35.5 100 "118.5/35.5"
-1.5 8.5 257 "-1.5/8.5"
-75.5 48.5 38 "-75.5/48.5"
-100.5 17.5 278 "-100.5/17.5"
30.5 -7.5 72 "30.5/-7.5"
111.5 39.5 1010 "111.5/39.5"
81.5 30.5 107 "81.5/30.5"
22.5 0.5 60 "22.5/0.5"
1.5 34.5 159 "1.5/34.5"
49.5 55.5 254 "49.5/55.5"
57.5 27.5 269 "57.5/27.5"
-104.5 20.5 139 "-104.5/20.5"
8.5 48.5 65 "8.5/48.5"
-58.5 -23.5 187 "-58.5/-23.5"
67.5 62.5 174 "67.5/62.5"
60.5 52.5 174 "60.5/52.5"
-65.5 -26.5 213 "-65.5/-26.5"
-1.5 42.5 102 "-1.5/42.5"
65.5 26.5 270 "65.5/26.5"
131.5 51.5 19 "131.5/51.5"
143.5 -13.5 49 "143.5/-13.5"
30.5 -10.5 286 "30.5/-10.5"
-107.5 31.5 245 "-107.5/31.5"
-68.5 50.5 38 "-68.5/50.5"
30.5 7.5 157 "30.5/7.5"
108.5 28.5 510 "108.5/28.5"
81.5 58.5 174 "81.5/58.5"
-131.5 58.5 7 "-131.5/58.5"
-88.5 42.5 94 "-88.5/42.5"
72.5 53.5 173 "72.5/53.5"
87.5 43.5 275 "87.5/43.5"
-58.5 -16.5 186 "-58.5/-16.5"
46.5 9.5 98 "46.5/9.5"
127.5 47.5 221 "127.5/47.5"
-49.5 -4.5 243 "-49.5/-4.5"
18.5 -12.5 279 "18.5/-12.5"
-83.5 42.5 94 "-83.5/42.5"
46.5 31.5 240 "46.5/31.5"
3.5 9.5 1521 "3.5/9.5"
-82.5 48.5 38 "-82.5/48.5"
25.5 6.5 58 "25.5/6.5"
85.5 59.5 174 "85.5/59.5"
26.5 49.5 70 "26.5/49.5"
42.5 35.5 240 "42.5/35.5"
122.5 -33.5 272 "122.5/-33.5"
-68.5 8.5 183 "-68.5/8.5"
72.5 47.5 117 "72.5/47.5"
100.5 7.5 237 "100.5/7.5"
-86.5 21.5 3 "-86.5/21.5"
21.5 -33.5 222 "21.5/-33.5"
24.5 -33.5 222 "24.5/-33.5"
-76.5 18.5 6 "-76.5/18.5"
-66.5 -38.5 198 "-66.5/-38.5"
62.5 27.5 269 "62.5/27.5"
-69.5 -47.5 238 "-69.5/-47.5"
110.5 29.5 512 "110.5/29.5"
100.5 45.5 132 "100.5/45.5"
-12.5 9.5 267 "-12.5/9.5"
-87.5 37.5 178 "-87.5/37.5"
85.5 52.5 174 "85.5/52.5"
120.5 47.5 18 "120.5/47.5"
79.5 43.5 276 "79.5/43.5"
-44.5 -3.5 166 "-44.5/-3.5"
128.5 38.5 224 "128.5/38.5"
66.5 43.5 230 "66.5/43.5"
106.5 38.5 1011 "106.5/38.5"
-73.5 -40.5 52 "-73.5/-40.5"
24.5 0.5 60 "24.5/0.5"
-8.5 39.5 103 "-8.5/39.5"
37.5 14.5 156 "37.5/14.5"
-96.5 31.5 273 "-96.5/31.5"
20.5 13.5 204 "20.5/13.5"
23.5 8.5 58 "23.5/8.5"
18.5 -14.5 41 "18.5/-14.5"
-102.5 44.5 141 "-102.5/44.5"
5.5 6.5 1522 "5.5/6.5"
-41.5 -13.5 214 "-41.5/-13.5"
150.5 -27.5 142 "150.5/-27.5"
40.5 -13.5 225 "40.5/-13.5"
-64.5 -24.5 185 "-64.5/-24.5"
-94.5 42.5 140 "-94.5/42.5"
71.5 31.5 1090 "71.5/31.5"
126.5 48.5 221 "126.5/48.5"
109.5 38.5 1010 "109.5/38.5"
131.5 34.5 1120 "131.5/34.5"
-61.5 -23.5 185 "-61.5/-23.5"
32.5 -10.5 286 "32.5/-10.5"
-35.5 -7.5 166 "-35.5/-7.5"
-86.5 31.5 228 "-86.5/31.5"
55.5 62.5 163 "55.5/62.5"
42.5 -0.5 98 "42.5/-0.5"
25.5 12.5 211 "25.5/12.5"
-5.5 54.5 110 "-5.5/54.5"
-52.5 5.5 165 "-52.5/5.5"
34.5 49.5 70 "34.5/49.5"
-56.5 -6.5 8 "-56.5/-6.5"
1.5 12.5 145 "1.5/12.5"
-50.5 -23.5 186 "-50.5/-23.5"
-55.5 -22.5 186 "-55.5/-22.5"
74.5 61.5 174 "74.5/61.5"
-1.5 33.5 168 "-1.5/33.5"
31.5 51.5 70 "31.5/51.5"
143.5 -20.5 49 "143.5/-20.5"
117.5 5.5 30 "117.5/5.5"
103.5 -4.5 1061 "103.5/-4.5"
-81.5 48.5 38 "-81.5/48.5"
17.5 53.5 176 "17.5/53.5"
140.5 -6.5 105 "140.5/-6.5"
113.5 33.5 100 "113.5/33.5"
178.5 -37.5 1 "178.5/-37.5"
38.5 15.5 155 "38.5/15.5"
97.5 57.5 274 "97.5/57.5"
-62.5 -20.5 9 "-62.5/-20.5"
-55.5 0.5 8 "-55.5/0.5"
2.5 9.5 255 "2.5/9.5"
138.5 37.5 1120 "138.5/37.5"
17.5 47.5 64 "17.5/47.5"
112.5 24.5 2881 "112.5/24.5"
98.5 58.5 274 "98.5/58.5"
-59.5 -8.5 8 "-59.5/-8.5"
13.5 64.5 2152 "13.5/64.5"
101.5 49.5 246 "101.5/49.5"
-52.5 -2.5 8 "-52.5/-2.5"
83.5 55.5 174 "83.5/55.5"
-64.5 -9.5 8 "-64.5/-9.5"
-37.5 -11.5 214 "-37.5/-11.5"
-66.5 51.5 38 "-66.5/51.5"
74.5 58.5 174 "74.5/58.5"
135.5 51.5 19 "135.5/51.5"
-55.5 -34.5 252 "-55.5/-34.5"
38.5 55.5 254 "38.5/55.5"
-47.5 -14.5 243 "-47.5/-14.5"
32.5 52.5 69 "32.5/52.5"
27.5 -11.5 281 "27.5/-11.5"
-43.5 -15.5 214 "-43.5/-15.5"
-103.5 26.5 139 "-103.5/26.5"
-88.5 45.5 140 "-88.5/45.5"
12.5 -2.5 44 "12.5/-2.5"
-62.5 -1.5 8 "-62.5/-1.5"
29.5 30.5 160 "29.5/30.5"
-70.5 -49.5 238 "-70.5/-49.5"
-101.5 37.5 22 "-101.5/37.5"
-42.5 -13.5 214 "-42.5/-13.5"
-102.5 53.5 190 "-102.5/53.5"
-74.5 -9.5 12 "-74.5/-9.5"
8.5 6.5 1522 "8.5/6.5"
-121.5 45.5 56 "-121.5/45.5"
9.5 5.5 42 "9.5/5.5"
159.5 56.5 1 "159.5/56.5"
-62.5 -33.5 185 "-62.5/-33.5"
96.5 17.5 235 "96.5/17.5"
-120.5 40.5 92 "-120.5/40.5"
140.5 -17.5 1 "140.5/-17.5"
-58.5 -33.5 185 "-58.5/-33.5"
-9.5 52.5 110 "-9.5/52.5"
-72.5 -0.5 10 "-72.5/-0.5"
-70.5 5.5 182 "-70.5/5.5"
-115.5 37.5 54 "-115.5/37.5"
56.5 47.5 248 "56.5/47.5"
32.5 51.5 70 "32.5/51.5"
29.5 -22.5 128 "29.5/-22.5"
143.5 -24.5 49 "143.5/-24.5"
-61.5 -19.5 187 "-61.5/-19.5"
44.5 44.5 26 "44.5/44.5"
122.5 39.5 221 "122.5/39.5"
-107.5 35.5 200 "-107.5/35.5"
93.5 50.5 246 "93.5/50.5"
127.5 -16.5 49 "127.5/-16.5"
135.5 -15.5 49 "135.5/-15.5"
45.5 38.5 269 "45.5/38.5"
-99.5 32.5 273 "-99.5/32.5"
22.5 3.5 60 "22.5/3.5"
77.5 43.5 276 "77.5/43.5"
-60.5 5.5 165 "-60.5/5.5"
42.5 36.5 240 "42.5/36.5"
33.5 39.5 242 "33.5/39.5"
-85.5 43.5 94 "-85.5/43.5"
-113.5 42.5 56 "-113.5/42.5"
39.5 5.5 96 "39.5/5.5"
23.5 -30.5 181 "23.5/-30.5"
18.5 59.5 2151 "18.5/59.5"
119.5 43.5 221 "119.5/43.5"
120.5 45.5 221 "120.5/45.5"
46.5 59.5 254 "46.5/59.5"
28.5 63.5 2150 "28.5/63.5"
32.5 36.5 84 "32.5/36.5"
36.5 -11.5 225 "36.5/-11.5"
16.5 62.5 2151 "16.5/62.5"
14.5 61.5 2151 "14.5/61.5"
39.5 -16.5 225 "39.5/-16.5"
37.5 -16.5 225 "37.5/-16.5"
-103.5 27.5 139 "-103.5/27.5"
86.5 55.5 174 "86.5/55.5"
-67.5 -2.5 8 "-67.5/-2.5"
29.5 65.5 2150 "29.5/65.5"
37.5 48.5 70 "37.5/48.5"
15.5 -21.5 114 "15.5/-21.5"
89.5 53.5 174 "89.5/53.5"
31.5 39.5 84 "31.5/39.5"
109.5 48.5 132 "109.5/48.5"
-65.5 2.5 183 "-65.5/2.5"
78.5 50.5 173 "78.5/50.5"
26.5 51.5 70 "26.5/51.5"
15.5 -1.5 59 "15.5/-1.5"
26.5 -12.5 286 "26.5/-12.5"
-98.5 55.5 190 "-98.5/55.5"
88.5 28.5 33 "88.5/28.5"
33.5 -9.5 282 "33.5/-9.5"
-90.5 17.5 277 "-90.5/17.5"
-10.5 15.5 218 "-10.5/15.5"
39.5 62.5 163 "39.5/62.5"
21.5 56.5 23 "21.5/56.5"
-98.5 19.5 139 "-98.5/19.5"
44.5 41.5 25 "44.5/41.5"
-99.5 35.5 22 "-99.5/35.5"
29.5 10.5 211 "29.5/10.5"
-66.5 -21.5 9 "-66.5/-21.5"
33.5 -8.5 285 "33.5/-8.5"
27.5 -31.5 222 "27.5/-31.5"
-107.5 27.5 245 "-107.5/27.5"
-56.5 -11.5 8 "-56.5/-11.5"
131.5 45.5 18 "131.5/45.5"
147.5 -33.5 142 "147.5/-33.5"
-75.5 43.5 94 "-75.5/43.5"
115.5 -0.5 29 "115.5/-0.5"
61.5 59.5 174 "61.5/59.5"
119.5 46.5 221 "119.5/46.5"
-90.5 18.5 278 "-90.5/18.5"
-108.5 39.5 54 "-108.5/39.5"
38.5 -2.5 97 "38.5/-2.5"
42.5 65.5 163 "42.5/65.5"
62.5 25.5 270 "62.5/25.5"
62.5 47.5 248 "62.5/47.5"
101.5 59.5 274 "101.5/59.5"
-127.5 55.5 7 "-127.5/55.5"
133.5 44.5 19 "133.5/44.5"
-87.5 38.5 178 "-87.5/38.5"
-63.5 -19.5 9 "-63.5/-19.5"
-51.5 -2.5 8 "-51.5/-2.5"
86.5 29.5 33 "86.5/29.5"
76.5 50.5 173 "76.5/50.5"
31.5 -1.5 74 "31.5/-1.5"
-120.5 44.5 56 "-120.5/44.5"
-123.5 43.5 56 "-123.5/43.5"
117.5 -30.5 272 "117.5/-30.5"
-79.5 -3.5 171 "-79.5/-3.5"
14.5 49.5 64 "14.5/49.5"
21.5 39.5 62 "21.5/39.5"
-89.5 34.5 140 "-89.5/34.5"
68.5 44.5 117 "68.5/44.5"
80.5 44.5 276 "80.5/44.5"
75.5 56.5 174 "75.5/56.5"
48.5 7.5 98 "48.5/7.5"
38.5 53.5 26 "38.5/53.5"
-8.5 31.5 168 "-8.5/31.5"
32.5 10.5 157 "32.5/10.5"
106.5 22.5 202 "106.5/22.5"
22.5 56.5 23 "22.5/56.5"
16.5 9.5 121 "16.5/9.5"
28.5 61.5 2150 "28.5/61.5"
123.5 46.5 221 "123.5/46.5"
-43.5 -13.5 214 "-43.5/-13.5"
-48.5 -24.5 214 "-48.5/-24.5"
18.5 13.5 204 "18.5/13.5"
109.5 46.5 132 "109.5/46.5"
76.5 46.5 117 "76.5/46.5"
49.5 59.5 254 "49.5/59.5"
60.5 61.5 174 "60.5/61.5"
-66.5 -24.5 185 "-66.5/-24.5"
22.5 32.5 161 "22.5/32.5"
-6.5 7.5 264 "-6.5/7.5"
117.5 -20.5 2 "117.5/-20.5"
-154.5 60.5 7 "-154.5/60.5"
82.5 46.5 276 "82.5/46.5"
51.5 52.5 249 "51.5/52.5"
40.5 1.5 97 "40.5/1.5"
-75.5 49.5 38 "-75.5/49.5"
-100.5 31.5 273 "-100.5/31.5"
134.5 -32.5 49 "134.5/-32.5"
117.5 31.5 512 "117.5/31.5"
38.5 7.5 96 "38.5/7.5"
28.5 12.5 211 "28.5/12.5"
94.5 22.5 235 "94.5/22.5"
-109.5 27.5 245 "-109.5/27.5"
-90.5 40.5 140 "-90.5/40.5"
-111.5 56.5 50 "-111.5/56.5"
39.5 -15.5 225 "39.5/-15.5"
-59.5 -34.5 185 "-59.5/-34.5"
-50.5 -16.5 243 "-50.5/-16.5"
16.5 61.5 2151 "16.5/61.5"
-68.5 1.5 8 "-68.5/1.5"
102.5 18.5 137 "102.5/18.5"
-93.5 34.5 22 "-93.5/34.5"
55.5 50.5 248 "55.5/50.5"
16.5 -11.5 41 "16.5/-11.5"
104.5 -4.5 1061 "104.5/-4.5"
-133.5 56.5 7 "-133.5/56.5"
-112.5 46.5 56 "-112.5/46.5"
107.5 14.5 137 "107.5/14.5"
152.5 -4.5 184 "152.5/-4.5"
107.5 11.5 202 "107.5/11.5"
95.5 55.5 274 "95.5/55.5"
-45.5 -8.5 166 "-45.5/-8.5"
6.5 53.5 1 "6.5/53.5"
143.5 -6.5 184 "143.5/-6.5"
31.5 8.5 157 "31.5/8.5"
-52.5 -11.5 8 "-52.5/-11.5"
32.5 -15.5 283 "32.5/-15.5"
111.5 25.5 511 "111.5/25.5"
115.5 28.5 512 "115.5/28.5"
-93.5 45.5 140 "-93.5/45.5"
20.5 -5.5 60 "20.5/-5.5"
-120.5 38.5 37 "-120.5/38.5"
-161.5 61.5 7 "-161.5/61.5"
-96.5 52.5 190 "-96.5/52.5"
-2.5 48.5 130 "-2.5/48.5"
57.5 59.5 254 "57.5/59.5"
34.5 14.5 157 "34.5/14.5"
76.5 44.5 276 "76.5/44.5"
104.5 18.5 137 "104.5/18.5"
-0.5 16.5 150 "-0.5/16.5"
33.5 -13.5 282 "33.5/-13.5"
58.5 23.5 20002 "58.5/23.5"
33.5 -20.5 283 "33.5/-20.5"
-55.5 -24.5 187 "-55.5/-24.5"
99.5 0.5 1061 "99.5/0.5"
32.5 -16.5 283 "32.5/-16.5"
123.5 53.5 19 "123.5/53.5"
-15.5 13.5 266 "-15.5/13.5"
97.5 1.5 1061 "97.5/1.5"
31.5 -19.5 227 "31.5/-19.5"
11.5 -3.5 46 "11.5/-3.5"
34.5 -5.5 74 "34.5/-5.5"
-69.5 -12.5 12 "-69.5/-12.5"
25.5 48.5 70 "25.5/48.5"
75.5 20.5 135 "75.5/20.5"
40.5 21.5 20000 "40.5/21.5"
75.5 43.5 276 "75.5/43.5"
119.5 26.5 512 "119.5/26.5"
117.5 40.5 95 "117.5/40.5"
125.5 11.5 189 "125.5/11.5"
-151.5 59.5 7 "-151.5/59.5"
20.5 6.5 58 "20.5/6.5"
68.5 50.5 173 "68.5/50.5"
-85.5 41.5 94 "-85.5/41.5"
-40.5 -5.5 166 "-40.5/-5.5"
103.5 30.5 510 "103.5/30.5"
15.5 38.5 111 "15.5/38.5"
50.5 37.5 5 "50.5/37.5"
14.5 2.5 42 "14.5/2.5"
15.5 0.5 59 "15.5/0.5"
31.5 37.5 84 "31.5/37.5"
36.5 14.5 157 "36.5/14.5"
93.5 49.5 246 "93.5/49.5"
-35.5 -5.5 166 "-35.5/-5.5"
75.5 61.5 174 "75.5/61.5"
-69.5 19.5 39 "-69.5/19.5"
41.5 7.5 96 "41.5/7.5"
132.5 -12.5 49 "132.5/-12.5"
-83.5 33.5 228 "-83.5/33.5"
59.5 57.5 174 "59.5/57.5"
-119.5 47.5 56 "-119.5/47.5"
25.5 31.5 160 "25.5/31.5"
49.5 37.5 269 "49.5/37.5"
-115.5 55.5 50 "-115.5/55.5"
-2.5 55.5 36 "-2.5/55.5"
-48.5 -10.5 243 "-48.5/-10.5"
-100.5 50.5 190 "-100.5/50.5"
114.5 -22.5 272 "114.5/-22.5"
25.5 -9.5 60 "25.5/-9.5"
36.5 9.5 156 "36.5/9.5"
15.5 63.5 2151 "15.5/63.5"
74.5 28.5 108 "74.5/28.5"
30.5 1.5 60 "30.5/1.5"
25.5 41.5 64 "25.5/41.5"
107.5 46.5 132 "107.5/46.5"
126.5 8.5 189 "126.5/8.5"
-113.5 38.5 92 "-113.5/38.5"
38.5 45.5 26 "38.5/45.5"
-49.5 -22.5 186 "-49.5/-22.5"
21.5 64.5 2151 "21.5/64.5"
34.5 39.5 242 "34.5/39.5"
41.5 11.5 96 "41.5/11.5"
29.5 39.5 84 "29.5/39.5"
69.5 28.5 1091 "69.5/28.5"
22.5 -7.5 60 "22.5/-7.5"
56.5 39.5 271 "56.5/39.5"
1.5 48.5 130 "1.5/48.5"
-123.5 51.5 7 "-123.5/51.5"
-95.5 47.5 191 "-95.5/47.5"
104.5 49.5 246 "104.5/49.5"
-45.5 -10.5 214 "-45.5/-10.5"
119.5 41.5 221 "119.5/41.5"
-80.5 36.5 228 "-80.5/36.5"
-66.5 -13.5 9 "-66.5/-13.5"
88.5 23.5 892 "88.5/23.5"
118.5 31.5 512 "118.5/31.5"
132.5 -23.5 49 "132.5/-23.5"
125.5 46.5 221 "125.5/46.5"
121.5 46.5 221 "121.5/46.5"
68.5 43.5 230 "68.5/43.5"
130.5 -24.5 49 "130.5/-24.5"
42.5 40.5 242 "42.5/40.5"
111.5 48.5 132 "111.5/48.5"
14.5 8.5 146 "14.5/8.5"
-57.5 -1.5 8 "-57.5/-1.5"
49.5 53.5 254 "49.5/53.5"
-69.5 0.5 10 "-69.5/0.5"
33.5 52.5 70 "33.5/52.5"
22.5 -15.5 286 "22.5/-15.5"
53.5 36.5 269 "53.5/36.5"
34.5 3.5 99 "34.5/3.5"
15.5 -10.5 41 "15.5/-10.5"
120.5 42.5 95 "120.5/42.5"
14.5 57.5 2151 "14.5/57.5"
-117.5 61.5 50 "-117.5/61.5"
44.5 25.5 20000 "44.5/25.5"
31.5 1.5 158 "31.5/1.5"
17.5 4.5 58 "17.5/4.5"
101.5 18.5 137 "101.5/18.5"
-55.5 1.5 8 "-55.5/1.5"
8.5 50.5 195 "8.5/50.5"
78.5 24.5 890 "78.5/24.5"
144.5 -36.5 142 "144.5/-36.5"
50.5 32.5 269 "50.5/32.5"
142.5 -12.5 49 "142.5/-12.5"
69.5 61.5 174 "69.5/61.5"
-71.5 18.5 39 "-71.5/18.5"
-107.5 42.5 54 "-107.5/42.5"
69.5 43.5 230 "69.5/43.5"
41.5 54.5 254 "41.5/54.5"
115.5 2.5 29 "115.5/2.5"
116.5 34.5 100 "116.5/34.5"
-6.5 16.5 208 "-6.5/16.5"
-91.5 38.5 141 "-91.5/38.5"
-57.5 -25.5 185 "-57.5/-25.5"
19.5 -6.5 60 "19.5/-6.5"
-36.5 -6.5 166 "-36.5/-6.5"
111.5 -2.5 29 "111.5/-2.5"
80.5 7.5 229 "80.5/7.5"
-35.5 -8.5 166 "-35.5/-8.5"
38.5 8.5 96 "38.5/8.5"
-149.5 65.5 7 "-149.5/65.5"
144.5 -5.5 184 "144.5/-5.5"
-46.5 -16.5 214 "-46.5/-16.5"
102.5 50.5 246 "102.5/50.5"
141.5 -37.5 771 "141.5/-37.5"
19.5 3.5 60 "19.5/3.5"
38.5 9.5 156 "38.5/9.5"
19.5 8.5 120 "19.5/8.5"
30.5 -24.5 128 "30.5/-24.5"
73.5 27.5 108 "73.5/27.5"
143.5 -35.5 142 "143.5/-35.5"
33.5 -2.5 74 "33.5/-2.5"
-55.5 -6.5 8 "-55.5/-6.5"
49.5 47.5 253 "49.5/47.5"
-66.5 -18.5 9 "-66.5/-18.5"
9.5 8.5 1520 "9.5/8.5"
120.5 -33.5 272 "120.5/-33.5"
-157.5 59.5 7 "-157.5/59.5"
7.5 44.5 111 "7.5/44.5"
-58.5 -21.5 187 "-58.5/-21.5"
111.5 -0.5 29 "111.5/-0.5"
92.5 47.5 132 "92.5/47.5"
-37.5 -8.5 214 "-37.5/-8.5"
-161.5 60.5 7 "-161.5/60.5"
38.5 64.5 163 "38.5/64.5"
-71.5 1.5 10 "-71.5/1.5"
52.5 49.5 248 "52.5/49.5"
19.5 53.5 176 "19.5/53.5"
32.5 54.5 69 "32.5/54.5"
67.5 50.5 173 "67.5/50.5"
130.5 43.5 18 "130.5/43.5"
118.5 39.5 95 "118.5/39.5"
132.5 52.5 19 "132.5/52.5"
-53.5 -19.5 186 "-53.5/-19.5"
-109.5 45.5 141 "-109.5/45.5"
127.5 51.5 19 "127.5/51.5"
71.5 33.5 1090 "71.5/33.5"
101.5 51.5 246 "101.5/51.5"
23.5 52.5 176 "23.5/52.5"
121.5 15.5 189 "121.5/15.5"
11.5 51.5 85 "11.5/51.5"
69.5 32.5 268 "69.5/32.5"
0.5 49.5 216 "0.5/49.5"
-8.5 37.5 103 "-8.5/37.5"
-113.5 54.5 50 "-113.5/54.5"
34.5 56.5 254 "34.5/56.5"
-114.5 41.5 92 "-114.5/41.5"
76.5 51.5 117 "76.5/51.5"
87.5 58.5 174 "87.5/58.5"
-87.5 19.5 278 "-87.5/19.5"
16.5 -16.5 41 "16.5/-16.5"
25.5 61.5 2150 "25.5/61.5"
-98.5 22.5 139 "-98.5/22.5"
86.5 47.5 172 "86.5/47.5"
34.5 -23.5 127 "34.5/-23.5"
-93.5 36.5 140 "-93.5/36.5"
119.5 49.5 18 "119.5/49.5"
13.5 61.5 2151 "13.5/61.5"
28.5 -21.5 129 "28.5/-21.5"
-67.5 -12.5 9 "-67.5/-12.5"
73.5 17.5 212 "73.5/17.5"
75.5 25.5 890 "75.5/25.5"
114.5 50.5 19 "114.5/50.5"
122.5 50.5 221 "122.5/50.5"
114.5 33.5 100 "114.5/33.5"
-67.5 -9.5 8 "-67.5/-9.5"
56.5 60.5 254 "56.5/60.5"
-111.5 50.5 190 "-111.5/50.5"
