"LON" "LAT" "FPU_code" "LONLAT"
-62.5 -17.5 9 "-62.5/-17.5"
-65.5 -14.5 9 "-65.5/-14.5"
77.5 10.5 212 "77.5/10.5"
139.5 -35.5 142 "139.5/-35.5"
-75.5 -5.5 12 "-75.5/-5.5"
118.5 33.5 100 "118.5/33.5"
-68.5 45.5 244 "-68.5/45.5"
-91.5 46.5 140 "-91.5/46.5"
33.5 35.5 78 "33.5/35.5"
-4.5 31.5 209 "-4.5/31.5"
103.5 35.5 1011 "103.5/35.5"
45.5 52.5 254 "45.5/52.5"
57.5 61.5 163 "57.5/61.5"
64.5 53.5 173 "64.5/53.5"
-64.5 -29.5 213 "-64.5/-29.5"
-65.5 -7.5 8 "-65.5/-7.5"
13.5 32.5 161 "13.5/32.5"
78.5 28.5 891 "78.5/28.5"
142.5 -35.5 142 "142.5/-35.5"
125.5 49.5 221 "125.5/49.5"
-104.5 50.5 190 "-104.5/50.5"
-42.5 -17.5 214 "-42.5/-17.5"
40.5 -12.5 225 "40.5/-12.5"
38.5 -1.5 97 "38.5/-1.5"
17.5 -17.5 41 "17.5/-17.5"
-46.5 -11.5 243 "-46.5/-11.5"
31.5 -15.5 283 "31.5/-15.5"
97.5 58.5 274 "97.5/58.5"
52.5 60.5 254 "52.5/60.5"
-96.5 30.5 273 "-96.5/30.5"
113.5 35.5 1010 "113.5/35.5"
-110.5 42.5 54 "-110.5/42.5"
-45.5 -21.5 186 "-45.5/-21.5"
16.5 40.5 111 "16.5/40.5"
38.5 0.5 97 "38.5/0.5"
109.5 37.5 1010 "109.5/37.5"
25.5 -29.5 181 "25.5/-29.5"
22.5 66.5 2151 "22.5/66.5"
41.5 49.5 26 "41.5/49.5"
-6.5 58.5 1 "-6.5/58.5"
27.5 52.5 68 "27.5/52.5"
105.5 48.5 246 "105.5/48.5"
-112.5 30.5 245 "-112.5/30.5"
120.5 40.5 95 "120.5/40.5"
68.5 57.5 174 "68.5/57.5"
130.5 32.5 1120 "130.5/32.5"
-102.5 31.5 200 "-102.5/31.5"
80.5 52.5 174 "80.5/52.5"
-60.5 7.5 165 "-60.5/7.5"
11.5 -1.5 46 "11.5/-1.5"
52.5 47.5 248 "52.5/47.5"
-70.5 7.5 183 "-70.5/7.5"
-107.5 41.5 54 "-107.5/41.5"
10.5 12.5 1520 "10.5/12.5"
-103.5 55.5 50 "-103.5/55.5"
111.5 28.5 511 "111.5/28.5"
51.5 49.5 248 "51.5/49.5"
-52.5 -30.5 251 "-52.5/-30.5"
-47.5 -21.5 186 "-47.5/-21.5"
63.5 26.5 270 "63.5/26.5"
-92.5 44.5 140 "-92.5/44.5"
-52.5 -17.5 243 "-52.5/-17.5"
-64.5 -25.5 185 "-64.5/-25.5"
-54.5 -10.5 8 "-54.5/-10.5"
-111.5 39.5 92 "-111.5/39.5"
-5.5 34.5 168 "-5.5/34.5"
-59.5 1.5 8 "-59.5/1.5"
-60.5 50.5 38 "-60.5/50.5"
-66.5 -36.5 198 "-66.5/-36.5"
79.5 31.5 107 "79.5/31.5"
-71.5 -0.5 10 "-71.5/-0.5"
-1.5 6.5 257 "-1.5/6.5"
82.5 50.5 173 "82.5/50.5"
109.5 25.5 2880 "109.5/25.5"
-50.5 -19.5 186 "-50.5/-19.5"
42.5 8.5 96 "42.5/8.5"
111.5 35.5 1010 "111.5/35.5"
-70.5 1.5 10 "-70.5/1.5"
8.5 47.5 192 "8.5/47.5"
115.5 -25.5 272 "115.5/-25.5"
-70.5 -53.5 52 "-70.5/-53.5"
141.5 41.5 1121 "141.5/41.5"
26.5 -4.5 60 "26.5/-4.5"
-11.5 17.5 219 "-11.5/17.5"
-105.5 32.5 200 "-105.5/32.5"
101.5 3.5 234 "101.5/3.5"
-71.5 -1.5 10 "-71.5/-1.5"
93.5 55.5 274 "93.5/55.5"
-84.5 15.5 48 "-84.5/15.5"
-6.5 10.5 149 "-6.5/10.5"
-101.5 19.5 139 "-101.5/19.5"
85.5 50.5 174 "85.5/50.5"
86.5 56.5 174 "86.5/56.5"
80.5 43.5 276 "80.5/43.5"
25.5 15.5 211 "25.5/15.5"
33.5 -16.5 283 "33.5/-16.5"
-49.5 -24.5 186 "-49.5/-24.5"
-65.5 -22.5 185 "-65.5/-22.5"
91.5 59.5 274 "91.5/59.5"
24.5 -6.5 60 "24.5/-6.5"
48.5 6.5 98 "48.5/6.5"
38.5 3.5 96 "38.5/3.5"
144.5 -32.5 142 "144.5/-32.5"
-44.5 -22.5 214 "-44.5/-22.5"
-46.5 -9.5 166 "-46.5/-9.5"
100.5 20.5 136 "100.5/20.5"
44.5 -17.5 134 "44.5/-17.5"
-119.5 48.5 56 "-119.5/48.5"
-98.5 33.5 22 "-98.5/33.5"
20.5 43.5 62 "20.5/43.5"
-107.5 54.5 50 "-107.5/54.5"
111.5 1.5 30 "111.5/1.5"
136.5 49.5 19 "136.5/49.5"
31.5 -25.5 128 "31.5/-25.5"
-9.5 53.5 110 "-9.5/53.5"
114.5 41.5 131 "114.5/41.5"
56.5 63.5 163 "56.5/63.5"
-75.5 -8.5 12 "-75.5/-8.5"
7.5 60.5 2152 "7.5/60.5"
42.5 55.5 254 "42.5/55.5"
49.5 -16.5 134 "49.5/-16.5"
-78.5 38.5 244 "-78.5/38.5"
135.5 48.5 19 "135.5/48.5"
-119.5 45.5 56 "-119.5/45.5"
54.5 48.5 248 "54.5/48.5"
-47.5 -17.5 186 "-47.5/-17.5"
46.5 38.5 269 "46.5/38.5"
99.5 59.5 274 "99.5/59.5"
117.5 29.5 512 "117.5/29.5"
51.5 64.5 163 "51.5/64.5"
65.5 30.5 268 "65.5/30.5"
-48.5 -27.5 214 "-48.5/-27.5"
-94.5 44.5 191 "-94.5/44.5"
46.5 30.5 240 "46.5/30.5"
-13.5 12.5 266 "-13.5/12.5"
28.5 -5.5 72 "28.5/-5.5"
24.5 -3.5 60 "24.5/-3.5"
18.5 -19.5 284 "18.5/-19.5"
-96.5 38.5 22 "-96.5/38.5"
-66.5 -40.5 238 "-66.5/-40.5"
45.5 58.5 254 "45.5/58.5"
42.5 64.5 163 "42.5/64.5"
94.5 20.5 235 "94.5/20.5"
15.5 46.5 62 "15.5/46.5"
-56.5 -28.5 185 "-56.5/-28.5"
78.5 17.5 116 "78.5/17.5"
-108.5 43.5 141 "-108.5/43.5"
10.5 51.5 85 "10.5/51.5"
99.5 36.5 1011 "99.5/36.5"
31.5 3.5 158 "31.5/3.5"
116.5 -34.5 272 "116.5/-34.5"
48.5 37.5 269 "48.5/37.5"
-104.5 37.5 22 "-104.5/37.5"
-76.5 -0.5 11 "-76.5/-0.5"
129.5 37.5 224 "129.5/37.5"
138.5 -5.5 105 "138.5/-5.5"
99.5 19.5 138 "99.5/19.5"
-82.5 39.5 178 "-82.5/39.5"
40.5 52.5 26 "40.5/52.5"
126.5 -8.5 1060 "126.5/-8.5"
43.5 7.5 96 "43.5/7.5"
-57.5 0.5 8 "-57.5/0.5"
134.5 44.5 19 "134.5/44.5"
14.5 7.5 42 "14.5/7.5"
143.5 -37.5 142 "143.5/-37.5"
100.5 0.5 1061 "100.5/0.5"
139.5 -21.5 49 "139.5/-21.5"
58.5 27.5 269 "58.5/27.5"
-110.5 29.5 245 "-110.5/29.5"
30.5 -30.5 222 "30.5/-30.5"
38.5 48.5 70 "38.5/48.5"
71.5 53.5 173 "71.5/53.5"
0.5 53.5 36 "0.5/53.5"
-6.5 37.5 103 "-6.5/37.5"
73.5 51.5 117 "73.5/51.5"
-73.5 -41.5 52 "-73.5/-41.5"
42.5 38.5 242 "42.5/38.5"
-155.5 59.5 7 "-155.5/59.5"
47.5 60.5 163 "47.5/60.5"
5.5 50.5 193 "5.5/50.5"
-62.5 7.5 183 "-62.5/7.5"
74.5 29.5 108 "74.5/29.5"
27.5 38.5 84 "27.5/38.5"
-66.5 -2.5 8 "-66.5/-2.5"
-54.5 -32.5 252 "-54.5/-32.5"
-74.5 43.5 244 "-74.5/43.5"
114.5 29.5 512 "114.5/29.5"
-50.5 -27.5 251 "-50.5/-27.5"
68.5 46.5 117 "68.5/46.5"
-74.5 -8.5 12 "-74.5/-8.5"
108.5 24.5 2880 "108.5/24.5"
-83.5 14.5 48 "-83.5/14.5"
45.5 53.5 254 "45.5/53.5"
97.5 22.5 235 "97.5/22.5"
117.5 36.5 100 "117.5/36.5"
-55.5 -25.5 187 "-55.5/-25.5"
-6.5 5.5 264 "-6.5/5.5"
53.5 56.5 254 "53.5/56.5"
99.5 13.5 237 "99.5/13.5"
-114.5 55.5 50 "-114.5/55.5"
-12.5 15.5 219 "-12.5/15.5"
-94.5 35.5 22 "-94.5/35.5"
73.5 31.5 1090 "73.5/31.5"
15.5 9.5 147 "15.5/9.5"
72.5 42.5 231 "72.5/42.5"
68.5 60.5 174 "68.5/60.5"
-40.5 -14.5 214 "-40.5/-14.5"
17.5 43.5 62 "17.5/43.5"
15.5 12.5 121 "15.5/12.5"
19.5 4.5 60 "19.5/4.5"
-98.5 28.5 200 "-98.5/28.5"
15.5 -19.5 114 "15.5/-19.5"
37.5 17.5 157 "37.5/17.5"
15.5 51.5 176 "15.5/51.5"
16.5 -5.5 60 "16.5/-5.5"
-2.5 40.5 103 "-2.5/40.5"
-61.5 -1.5 8 "-61.5/-1.5"
105.5 -4.5 1061 "105.5/-4.5"
-96.5 45.5 191 "-96.5/45.5"
-100.5 28.5 199 "-100.5/28.5"
-62.5 -40.5 198 "-62.5/-40.5"
46.5 32.5 240 "46.5/32.5"
-73.5 4.5 182 "-73.5/4.5"
-55.5 51.5 1 "-55.5/51.5"
5.5 45.5 197 "5.5/45.5"
78.5 58.5 174 "78.5/58.5"
-43.5 -3.5 166 "-43.5/-3.5"
81.5 16.5 91 "81.5/16.5"
-81.5 32.5 228 "-81.5/32.5"
107.5 26.5 2880 "107.5/26.5"
106.5 28.5 510 "106.5/28.5"
66.5 39.5 17 "66.5/39.5"
-6.5 17.5 208 "-6.5/17.5"
103.5 52.5 1 "103.5/52.5"
16.5 -6.5 57 "16.5/-6.5"
171.5 -42.5 143 "171.5/-42.5"
36.5 56.5 254 "36.5/56.5"
136.5 45.5 19 "136.5/45.5"
61.5 27.5 269 "61.5/27.5"
117.5 47.5 132 "117.5/47.5"
23.5 -12.5 279 "23.5/-12.5"
105.5 9.5 202 "105.5/9.5"
77.5 11.5 40 "77.5/11.5"
40.5 55.5 254 "40.5/55.5"
17.5 64.5 2151 "17.5/64.5"
81.5 20.5 35 "81.5/20.5"
5.5 49.5 193 "5.5/49.5"
-68.5 5.5 182 "-68.5/5.5"
116.5 -29.5 272 "116.5/-29.5"
131.5 -24.5 49 "131.5/-24.5"
3.5 44.5 130 "3.5/44.5"
115.5 53.5 1 "115.5/53.5"
35.5 38.5 242 "35.5/38.5"
-69.5 -11.5 12 "-69.5/-11.5"
115.5 -1.5 29 "115.5/-1.5"
8.5 44.5 111 "8.5/44.5"
45.5 3.5 98 "45.5/3.5"
41.5 12.5 156 "41.5/12.5"
-50.5 -28.5 251 "-50.5/-28.5"
42.5 48.5 26 "42.5/48.5"
120.5 -3.5 105 "120.5/-3.5"
43.5 44.5 26 "43.5/44.5"
-76.5 38.5 244 "-76.5/38.5"
86.5 53.5 174 "86.5/53.5"
-49.5 -23.5 186 "-49.5/-23.5"
18.5 43.5 62 "18.5/43.5"
107.5 22.5 2880 "107.5/22.5"
115.5 -26.5 272 "115.5/-26.5"
-85.5 34.5 228 "-85.5/34.5"
21.5 17.5 204 "21.5/17.5"
17.5 -13.5 41 "17.5/-13.5"
116.5 39.5 95 "116.5/39.5"
34.5 -15.5 283 "34.5/-15.5"
7.5 8.5 1521 "7.5/8.5"
-66.5 10.5 183 "-66.5/10.5"
-59.5 -5.5 8 "-59.5/-5.5"
58.5 59.5 254 "58.5/59.5"
35.5 14.5 157 "35.5/14.5"
138.5 -7.5 105 "138.5/-7.5"
115.5 38.5 95 "115.5/38.5"
33.5 -18.5 283 "33.5/-18.5"
30.5 -21.5 129 "30.5/-21.5"
140.5 42.5 1121 "140.5/42.5"
-8.5 54.5 110 "-8.5/54.5"
86.5 54.5 174 "86.5/54.5"
-153.5 57.5 7 "-153.5/57.5"
-13.5 15.5 220 "-13.5/15.5"
-2.5 15.5 150 "-2.5/15.5"
29.5 53.5 68 "29.5/53.5"
65.5 40.5 17 "65.5/40.5"
78.5 20.5 91 "78.5/20.5"
15.5 41.5 111 "15.5/41.5"
-57.5 -13.5 8 "-57.5/-13.5"
-104.5 35.5 22 "-104.5/35.5"
48.5 56.5 254 "48.5/56.5"
87.5 49.5 174 "87.5/49.5"
-105.5 39.5 141 "-105.5/39.5"
53.5 27.5 269 "53.5/27.5"
-106.5 43.5 141 "-106.5/43.5"
-113.5 48.5 141 "-113.5/48.5"
-62.5 -4.5 8 "-62.5/-4.5"
7.5 49.5 195 "7.5/49.5"
142.5 -17.5 49 "142.5/-17.5"
76.5 28.5 891 "76.5/28.5"
104.5 50.5 247 "104.5/50.5"
46.5 48.5 254 "46.5/48.5"
34.5 -22.5 127 "34.5/-22.5"
27.5 56.5 23 "27.5/56.5"
22.5 46.5 64 "22.5/46.5"
-62.5 -26.5 185 "-62.5/-26.5"
78.5 60.5 174 "78.5/60.5"
47.5 49.5 253 "47.5/49.5"
67.5 36.5 13 "67.5/36.5"
-105.5 57.5 50 "-105.5/57.5"
45.5 62.5 163 "45.5/62.5"
150.5 -22.5 772 "150.5/-22.5"
-113.5 41.5 92 "-113.5/41.5"
153.5 -28.5 772 "153.5/-28.5"
83.5 29.5 107 "83.5/29.5"
116.5 -31.5 272 "116.5/-31.5"
27.5 10.5 157 "27.5/10.5"
-106.5 33.5 200 "-106.5/33.5"
-98.5 48.5 191 "-98.5/48.5"
-92.5 49.5 93 "-92.5/49.5"
21.5 -8.5 57 "21.5/-8.5"
131.5 33.5 1120 "131.5/33.5"
11.5 3.5 42 "11.5/3.5"
2.5 45.5 130 "2.5/45.5"
5.5 16.5 151 "5.5/16.5"
112.5 -1.5 29 "112.5/-1.5"
134.5 34.5 1120 "134.5/34.5"
-109.5 32.5 54 "-109.5/32.5"
11.5 9.5 1520 "11.5/9.5"
64.5 44.5 14 "64.5/44.5"
104.5 23.5 201 "104.5/23.5"
-57.5 -15.5 186 "-57.5/-15.5"
79.5 51.5 173 "79.5/51.5"
-94.5 36.5 22 "-94.5/36.5"
-66.5 46.5 38 "-66.5/46.5"
-67.5 -17.5 9 "-67.5/-17.5"
-108.5 44.5 141 "-108.5/44.5"
14.5 58.5 2151 "14.5/58.5"
24.5 -16.5 286 "24.5/-16.5"
-87.5 35.5 178 "-87.5/35.5"
24.5 -20.5 113 "24.5/-20.5"
-53.5 -30.5 251 "-53.5/-30.5"
-71.5 -10.5 12 "-71.5/-10.5"
-11.5 13.5 220 "-11.5/13.5"
39.5 59.5 254 "39.5/59.5"
117.5 -0.5 29 "117.5/-0.5"
38.5 61.5 163 "38.5/61.5"
-51.5 -19.5 186 "-51.5/-19.5"
24.5 -28.5 181 "24.5/-28.5"
45.5 -21.5 134 "45.5/-21.5"
88.5 56.5 174 "88.5/56.5"
142.5 47.5 1 "142.5/47.5"
49.5 23.5 20000 "49.5/23.5"
147.5 -23.5 772 "147.5/-23.5"
138.5 -3.5 105 "138.5/-3.5"
2.5 33.5 159 "2.5/33.5"
-125.5 56.5 50 "-125.5/56.5"
125.5 12.5 1 "125.5/12.5"
45.5 30.5 240 "45.5/30.5"
20.5 -32.5 222 "20.5/-32.5"
4.5 12.5 1521 "4.5/12.5"
